"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"1",100.1,4.61,18.9,5,15.5,"saddle",26359,4.64972312258876
"2",116.5,3.65,1.3,5,1.9,"minimum",1922,1016.10919168825
"8",94.1,5,50,4.7,49.6,"saddle",177,155.258105998794
"20",93.4,0.34,50,0.01,50,"saddle",94,154.934013418264
"173",93.4,0.34,50,0.01,48.7,"saddle",73,154.815037859127
"14",93.4,0.34,50,0.01,49.8,"saddle",71,154.915527080231
"163",93.4,0.34,50,0.01,48.8,"saddle",69,154.824087923565
"116",93.4,0.34,50,0.01,48.9,"saddle",65,154.833155418165
"146",93.4,0.34,50,0.01,48.5,"saddle",56,154.79699051744
"17",93.4,0.34,50,0.01,49.9,"saddle",55,154.924762195423
"12",100.1,4.61,18.9,5,15.5,"minimum",49,4.64972312258876
"223",93.4,0.34,50,0.01,49,"saddle",49,154.842240219557
"239",93.4,0.34,50,0.01,48.6,"saddle",44,154.806005348864
"210",93.4,0.34,50,0.01,48.4,"saddle",37,154.787993490168
"25",93.4,0.34,50,0.01,49.7,"saddle",36,154.906308189834
"232",93.4,0.34,50,0.01,48.2,"saddle",35,154.770053352635
"160",93.4,0.34,50,0.01,49.1,"saddle",34,154.85134220501
"231",93.4,0.34,50,0.01,48.1,"saddle",32,154.761110496305
"62",93.4,0.34,50,0.01,49.2,"saddle",30,154.860461252433
"233",93.4,0.34,50,0.01,48.3,"saddle",30,154.779014393023
"180",93.4,0.34,50,0.01,45,"saddle",29,154.493628155264
"236",93.4,0.34,50,0.01,48,"saddle",26,154.752185952001
"46",93.4,0.34,50,0.01,49.5,"saddle",25,154.887919555036
"182",93.4,0.34,50,0.01,44.8,"saddle",25,154.477071897746
"185",93.4,0.34,50,0.01,45.5,"saddle",22,154.535412327928
"189",93.4,0.34,50,0.01,45.3,"saddle",22,154.518631948683
"47",93.4,0.34,50,0.01,44.2,"saddle",21,154.427958703084
"115",93.4,0.34,50,0.01,49.6,"saddle",21,154.897105641983
"179",93.4,0.34,50,0.01,44.6,"saddle",21,154.460607411887
"190",93.4,0.34,50,0.01,44.9,"saddle",21,154.485338631606
"71",93.4,0.34,50,0.01,45.4,"saddle",20,154.527011119369
"183",93.4,0.34,50,0.01,44.3,"saddle",20,154.43608545706
"200",93.4,0.34,50,0.01,44.7,"saddle",20,154.468828106588
"240",93.4,0.34,50,0.01,47.7,"saddle",20,154.725523481072
"140",93.4,0.34,50,0.01,41.5,"saddle",19,154.218102574765
"150",93.4,0.34,50,0.01,49.3,"saddle",18,154.869597240363
"181",93.4,0.34,50,0.01,44.5,"saddle",18,154.452409968263
"123",93.4,0.34,50,0.01,45.1,"saddle",17,154.501940316666
"134",93.4,0.34,50,0.01,42.4,"saddle",17,154.285918007304
"135",93.4,0.34,50,0.01,42.3,"saddle",17,154.278273039707
"147",93.4,0.34,50,0.01,42.8,"saddle",17,154.31676498158
"178",93.4,0.34,50,0.01,43.9,"saddle",17,154.403722347948
"184",93.4,0.34,50,0.01,45.2,"saddle",17,154.510274964599
"192",93.4,0.34,50,0.01,44.4,"saddle",17,154.4442359312
"234",93.4,0.34,50,0.01,47.8,"saddle",17,154.734392314721
