"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"136",93.4,0.34,50,0.01,41.8,"saddle",16,154.24045769635
"148",93.4,0.34,50,0.01,42.2,"saddle",16,154.270655133944
"88",93.4,0.34,50,0.01,39,"saddle",15,154.0422854569
"106",93.4,0.34,50,0.01,41.3,"saddle",15,154.2033414165
"142",93.4,0.34,50,0.01,41,"saddle",15,154.181416801542
"191",93.4,0.34,50,0.01,43.4,"saddle",15,154.363817762986
"86",93.4,0.34,50,0.01,39.2,"saddle",14,154.055622679251
"131",93.4,0.34,50,0.01,41.6,"saddle",14,154.225526015938
"177",93.4,0.34,50,0.01,43.7,"saddle",14,154.387686301789
"50",93.4,0.34,50,0.01,42.6,"saddle",13,154.301288423034
"55",93.4,0.34,50,0.01,39.3,"saddle",13,154.06234106091
"79",93.4,0.34,50,0.01,41.7,"saddle",13,154.232977784493
"105",93.4,0.34,50,0.01,41.4,"saddle",13,154.210707646174
"119",93.4,0.34,50,0.01,40.5,"saddle",13,154.145467482758
"132",93.4,0.34,50,0.01,41.9,"saddle",13,154.247965568543
"151",93.4,0.34,50,0.01,43.8,"saddle",13,154.395692064941
"156",93.4,0.34,50,0.01,43.6,"saddle",13,154.379705221177
"23",93.4,0.34,50,0.01,47.9,"saddle",12,154.743279848366
"76",93.4,0.34,50,0.01,47.6,"saddle",12,154.716673478111
"108",93.4,0.34,50,0.01,40.6,"saddle",12,154.15259727349
"139",93.4,0.34,50,0.01,44,"saddle",12,154.41177698905
"149",93.4,0.34,50,0.01,43.5,"saddle",12,154.371748986723
"187",93.4,0.34,50,0.01,44.1,"saddle",12,154.419855827405
"193",93.4,0.34,50,0.01,45.6,"saddle",12,154.543835426447
"197",93.4,0.34,50,0.01,43.3,"saddle",12,154.355911715476
"244",93.4,0.34,50,0.01,47.4,"saddle",12,154.699030490495
"18",100.1,4.61,18.9,5,15.4,"saddle",11,10.4248412341425
"69",93.4,0.34,50,0.01,42,"saddle",11,154.255501219208
"90",93.4,0.34,50,0.01,40.2,"saddle",11,154.12426147734
"96",93.4,0.34,50,0.01,38.6,"saddle",11,154.016015266544
"97",93.4,0.34,50,0.01,38.3,"saddle",11,153.996673314295
"100",93.4,0.34,50,0.01,38.9,"saddle",11,154.035667049058
"109",93.4,0.34,50,0.01,42.1,"saddle",11,154.263064467572
"143",93.4,0.34,50,0.01,43.1,"saddle",11,154.340175815963
"204",93.4,0.34,50,0.01,46,"saddle",11,154.5777437901
"92",93.4,0.34,50,0.01,40.7,"saddle",10,154.159757295922
"93",93.4,0.34,50,0.01,40.4,"saddle",10,154.138368120758
"99",93.4,0.34,50,0.01,38.8,"saddle",10,154.029082401087
"130",93.4,0.34,50,0.01,40.8,"saddle",10,154.166947354256
"133",93.4,0.34,50,0.01,39.8,"saddle",10,154.09642214478
"145",93.4,0.34,50,0.01,40,"saddle",10,154.110278944677
"155",93.4,0.34,50,0.01,42.9,"saddle",10,154.324542631543
"198",93.4,0.34,50,0.01,42.7,"saddle",10,154.309013521282
"205",93.4,0.34,50,0.01,47,"saddle",10,154.663976311464
"63",93.4,0.34,50,0.01,49.4,"saddle",9,154.878750047967
"73",93.4,0.34,50,0.01,47.5,"saddle",9,154.707842437224
"85",93.4,0.34,50,0.01,38.7,"saddle",9,154.022531733062
"91",93.4,0.34,50,0.01,38.5,"saddle",9,154.009533224596
"94",93.4,0.34,50,0.01,39.4,"saddle",9,154.069092336709
"95",93.4,0.34,50,0.01,38.2,"saddle",9,153.99029589974
"101",93.4,0.34,50,0.01,40.3,"saddle",9,154.131299385772
"124",93.4,0.34,50,0.01,39.7,"saddle",9,154.089541407225
"138",93.4,0.34,50,0.01,42.5,"saddle",9,154.293589860233
"154",93.4,0.34,50,0.01,43.2,"saddle",9,154.348031010658
"127",93.4,0.34,50,0.01,40.9,"saddle",8,154.174167253917
"129",93.4,0.34,50,0.01,39.9,"saddle",8,154.103334725942
"194",93.4,0.34,50,0.01,45.7,"saddle",8,154.552280267824
"3",115.8,0.01,2.8,1.48,2.8,"saddle",7,1059.88492943735
"58",93.4,0.34,50,0.01,38.1,"saddle",7,153.983953817392
"61",93.4,0.34,50,0.01,39.1,"saddle",7,154.048937406013
"81",93.4,0.34,50,0.01,37.9,"saddle",7,153.971376574268
"89",93.4,0.34,50,0.01,37.8,"saddle",7,153.965141880008
"126",93.4,0.34,50,0.01,39.5,"saddle",7,154.07587629378
"152",93.4,0.34,50,0.01,41.2,"saddle",7,154.19600407322
"203",93.4,0.34,50,0.01,43,"saddle",7,154.332346299796
"29",93.4,0.34,50,0.01,47.1,"saddle",6,154.672710546629
"87",93.4,0.34,50,0.01,38,"saddle",6,153.977647298086
"98",93.4,0.34,50,0.01,41.1,"saddle",6,154.188695804968
"208",93.4,0.34,50,0.01,46.6,"saddle",6,154.629238390105
"257",93.4,0.34,50,0.01,47.3,"saddle",6,154.690237770706
"230",93.4,0.34,50,0.01,46.9,"saddle",5,154.655261841495
"237",93.4,0.34,50,0.01,47.2,"saddle",5,154.68146441135
"4",116.5,3.66,1.3,5,1.9,"minimum",4,1015.76145150225
"10",115.8,0.01,2.7,1.48,2.8,"saddle",4,1059.8978631469
"82",93.4,0.35,50,0.02,50,"saddle",4,154.934013418264
"104",93.4,0.34,50,0.01,40.1,"saddle",4,154.117254596275
"153",93.4,0.34,50,0.01,46.2,"saddle",4,154.594825524924
"162",93.4,0.34,50,0.01,39.6,"saddle",4,154.08269272065
"199",93.4,0.34,50,0.01,46.1,"saddle",4,154.586274147871
"35",100.1,4.61,18.9,5,15.4,"minimum",3,10.4248412341425
"171",94.1,4.99,50,4.7,49.6,"saddle",3,151.697070327957
"176",94.1,4.93,50,4.63,49.6,"saddle",3,154.645980741173
"220",93.4,0.34,50,0.01,46.4,"saddle",3,154.611990768176
"227",94.1,4.98,50,4.69,49.6,"saddle",3,151.737805333313
"277",93.4,0.34,50,0.01,46.8,"saddle",3,154.64656727309
"5",97,5,25.1,5,22.6,"saddle",2,53.3957743739904
"7",94.1,4.76,50,4.46,49.6,"saddle",2,153.313004572522
"11",115.8,0.01,3,1.48,2.8,"saddle",2,1059.85143550241
"16",94.1,4.72,50,4.42,49.6,"saddle",2,153.03098947987
"41",100.1,4.61,19,5,15.5,"minimum",2,8.12176796681242
"49",100,4.62,18.9,5,15.5,"minimum",2,3.03602447752724
"83",94.1,4.92,50,4.62,49.6,"saddle",2,154.561546309968
"84",100,4.61,18.9,5,15.5,"saddle",2,6.82743110018312
"107",93.4,0.34,50,0.01,38.4,"saddle",2,154.003085831806
"114",93.5,0.34,50,0.01,39.2,"saddle",2,154.218390799424
"157",93.5,0.34,50,0.01,37.9,"saddle",2,154.228076263859
"175",94.1,4.68,50,4.38,49.6,"saddle",2,152.7610225239
"188",93.4,0.34,50,0.01,45.8,"saddle",2,154.560746705761
"212",93.5,0.34,50,0.01,43.1,"saddle",2,154.234239836025
"214",93.4,0.34,50,0.01,46.5,"saddle",2,154.62060435194
"226",94.1,4.98,50,4.68,49.6,"saddle",2,155.079448025335
"235",93.4,0.34,50,0.01,46.3,"saddle",2,154.603397778892
"245",94.1,3.01,50,2.71,49.3,"saddle",2,155.690916629565
"246",94.1,1.79,50,1.49,48.7,"saddle",2,156.77931984629
"253",93.4,0.34,50,0.01,45.9,"saddle",2,154.569234594756
"255",94.1,4.91,50,4.61,49.6,"saddle",2,154.47786488731
"6",94.1,3.98,50,3.69,49.5,"saddle",1,152.036320812952
"9",93.3,0.35,49.4,0.01,43.5,"saddle",1,158.284831083558
"13",94.1,4.47,50,4.17,49.6,"saddle",1,151.541360747528
"15",97.4,4.96,23.9,5,21.2,"saddle",1,35.489206633947
"19",96.6,5,26.3,4.95,23.8,"saddle",1,65.6990279132849
"21",98.8,4.79,21.1,5,18,"saddle",1,10.7244262815288
"22",94.1,4.05,50,3.75,49.5,"saddle",1,155.158666796039
"24",115.8,0.01,2.6,1.48,2.8,"saddle",1,1059.90823242598
"26",100.2,4.6,18.8,5,15.3,"saddle",1,8.10396048143209
"27",96.3,5,27.5,4.91,25.2,"saddle",1,69.4378688749631
"28",97.2,4.98,24.7,5,22.1,"saddle",1,43.4426177988961
"30",97.7,4.93,23.7,5,20.9,"minimum",1,33.4409824332003
"31",96.7,5,26.5,4.95,24.1,"saddle",1,58.9098501146912
"32",96.3,5,27.8,4.91,25.5,"saddle",1,71.4076556219189
"33",100,4.62,18.9,5,15.5,"saddle",1,3.03602447752724
"34",115.8,0.04,2.7,1.51,2.8,"saddle",1,1059.93768048207
"36",100.1,4.6,18.9,5,15.4,"minimum",1,4.30529375994475
"37",95.5,5,22.9,5,20.2,"saddle",1,47.0865160968494
"38",97.4,4.95,24,5,21.2,"saddle",1,41.8680243609285
"39",95.2,5,28.2,4.86,26,"saddle",1,78.9792385103467
"40",99.6,4.69,19.8,5,16.5,"saddle",1,4.79626492125937
"42",97.1,5,25.1,5,22.6,"saddle",1,50.1426215098671
"43",99.6,4.67,19.6,5,16.3,"minimum",1,7.04690127069019
"44",95.4,5,32.7,4.81,30.9,"saddle",1,107.1454416859
"45",97.1,5,25,5,22.4,"saddle",1,47.7205916533122
"48",100.2,4.61,19,5,15.5,"saddle",1,11.6066610600006
"51",97.5,5,25.7,5,23.2,"saddle",1,51.6516003020276
"52",97,5,25.1,5,22.5,"saddle",1,46.5825010932608
"53",99.6,4.68,19.6,5,16.3,"saddle",1,3.73270214435372
"54",97,5,25,5,22.4,"saddle",1,45.9726171713928
"56",97.2,5,25.1,5,22.6,"saddle",1,47.8694686457436
"57",95.3,5,31.9,4.82,30.1,"saddle",1,109.44639576329
"59",97,5,25.2,5,22.6,"saddle",1,47.2638601389952
"60",97.1,5,26.5,4.96,24.1,"saddle",1,59.2761698889038
"64",93.2,0.36,47.2,0.01,42,"saddle",1,161.450928375159
"65",99.7,4.66,19.4,5,16.1,"minimum",1,7.24975077985629
"66",100.6,4.54,18.3,5,14.8,"minimum",1,8.9184375006282
"67",97.6,4.93,23.3,5,20.6,"minimum",1,35.184055532338
"68",96.1,5,28.3,4.89,26,"saddle",1,87.6490626168109
"70",95.4,5,31.7,4.82,29.8,"saddle",1,102.072767162497
"72",94.1,4.31,50,4.02,49.5,"saddle",1,150.749182373259
"74",96.8,5,25.4,4.98,22.9,"saddle",1,49.3153137380848
"75",95.9,5,29.4,4.87,27.2,"saddle",1,91.8143534021686
"77",100,4.62,19,5,15.6,"saddle",1,3.56067582578674
"78",96,5,28.6,4.89,26.4,"saddle",1,78.0880054563852
"80",94.4,5,43.4,4.73,42.5,"saddle",1,145.941528039946
"102",97.6,4.93,23.4,5,20.6,"minimum",1,30.7681782414663
"103",96.2,5,24.1,4.99,21.5,"minimum",1,42.9553135373936
"110",96.1,5,28.1,4.9,25.9,"saddle",1,77.2472827567689
"111",93.4,0.36,50,0.03,50,"saddle",1,154.934013418264
"112",98.4,4.82,21.4,5,18.4,"saddle",1,16.172857739597
"113",99.9,4.62,18.9,5,15.5,"saddle",1,3.93239407677032
"117",94.1,4.83,50,4.54,49.6,"saddle",1,152.439191438752
"118",95.5,5,31.1,4.84,29.1,"saddle",1,96.886235252032
"120",94.1,3.09,50,2.79,49.3,"saddle",1,157.084440112891
"121",95.1,5,34.1,4.79,32.4,"saddle",1,115.948166548359
"122",98.5,4.82,21.4,5,18.4,"minimum",1,14.2062501680757
"125",94.1,4.44,50,4.14,49.6,"saddle",1,151.394231658443
"128",93.5,0.34,50,0.01,39.5,"saddle",1,154.217284685054
"137",93.3,0.34,50,0.01,41.4,"saddle",1,155.181877517169
"141",93.4,0.34,49.5,0.01,38.8,"saddle",1,155.318338923478
"144",96.7,5,24.6,5,22,"saddle",1,42.4521870378881
"158",93.4,0.34,49.9,0.01,40.1,"saddle",1,154.288946384391
"159",94.1,2.76,50,2.46,49.2,"saddle",1,157.503320080521
"161",97.8,4.89,22.7,5,19.8,"minimum",1,23.3305318132268
"164",95.1,5,34,4.79,32.3,"saddle",1,115.351974469246
"165",93.4,0.37,50,0.03,50,"saddle",1,163.498207069888
"166",94.1,4.75,50,4.45,49.6,"saddle",1,153.241371286545
"167",96.3,5,27.4,4.92,25.1,"saddle",1,68.1808088857731
"168",94.1,3.85,50,3.55,49.5,"saddle",1,153.158042410936
"169",99.8,4.65,19.4,5,16,"saddle",1,4.32332342679111
"170",95.8,5,30.2,4.85,28.2,"saddle",1,90.2958875325156
"172",100.4,4.58,18.6,5,15.1,"saddle",1,5.14095008277746
"174",94.1,4.29,50,4,49.5,"saddle",1,150.790657964026
"186",93.7,0.33,50,0.01,39.5,"saddle",1,155.81839438112
"195",93.4,0.34,49.7,0.01,42.2,"saddle",1,155.066934586997
"196",93.3,0.35,49.1,0.01,42.1,"saddle",1,157.501889959286
"201",93.3,0.35,50,0.01,46.2,"saddle",1,161.013887088991
"202",94.1,3.46,50,3.16,49.4,"saddle",1,155.652995424954
"206",91.6,0.37,50,0.01,38.6,"saddle",1,176.090350525073
"207",93.4,0.34,49.9,0.01,40.8,"saddle",1,154.351611733028
"209",93.4,0.34,49.6,0.01,40.6,"saddle",1,155.208175918076
"211",96.7,5,24.9,4.99,22.4,"minimum",1,51.6861424608401
"213",93.5,0.34,50,0.01,38.7,"saddle",1,154.221162116449
"215",99.5,4.64,19,5,15.6,"minimum",1,4.13176218923263
"216",95.5,5,31.5,4.83,29.6,"saddle",1,99.7049571032678
"217",93.3,0.34,50,0.01,43.6,"saddle",1,155.49872108379
"218",94.1,2.93,50,2.64,49.3,"saddle",1,151.916311200268
"219",94.1,4.84,50,4.55,49.6,"saddle",1,152.387161305256
"221",94.1,3.67,50,3.37,49.4,"saddle",1,158.980337653135
"222",94.1,4.93,50,4.64,49.6,"saddle",1,151.952775488223
"224",94.1,4.46,50,4.17,49.6,"saddle",1,154.893671383607
"225",94.1,4.09,50,3.8,49.5,"saddle",1,151.464678900531
"228",94.1,4.12,50,3.83,49.5,"saddle",1,151.333524586258
"229",94.1,4.62,50,4.32,49.6,"saddle",1,152.378662346229
"238",94.1,4.86,50,4.57,49.6,"saddle",1,152.285360063895
"241",94.1,4.94,50,4.64,49.6,"saddle",1,154.73116818092
"242",94.1,4.88,50,4.59,49.6,"saddle",1,152.186570856703
"243",94.1,1.75,50,1.46,48.7,"saddle",1,151.162197769218
"247",93.6,0.34,50,0.01,49.3,"saddle",1,154.858452631435
"248",94.1,2.73,50,2.43,49.2,"saddle",1,156.868876762223
"249",94.1,2.53,50,2.23,49.2,"saddle",1,153.336514186236
"250",94.1,2.64,50,2.35,49.2,"saddle",1,151.532995671575
"251",94.1,2.54,50,2.24,49.2,"saddle",1,153.484332464223
"252",94.1,3.03,50,2.73,49.3,"saddle",1,156.025393750346
"254",94.1,2.18,50,1.88,49,"saddle",1,155.337020451834
"256",94.1,2.95,50,2.65,49.3,"saddle",1,154.743100267426
"258",94.1,4.53,50,4.24,49.6,"saddle",1,154.350244415972
"259",94.1,1.94,50,1.65,48.9,"saddle",1,152.143535828249
"260",94.1,1.63,50,1.33,48.6,"saddle",1,154.979254678709
"261",94.1,2.05,50,1.75,48.9,"saddle",1,156.436915484003
"262",94.1,4.69,50,4.4,49.6,"saddle",1,153.24667920467
"263",94.1,2.59,50,2.3,49.2,"saddle",1,151.966492842953
"264",94,5,50,4.69,49.7,"saddle",1,158.601156452024
"265",94.1,4.26,50,3.97,49.5,"saddle",1,150.861709930705
"266",94.1,3.15,50,2.85,49.4,"saddle",1,152.111203866343
"267",94.1,4.79,50,4.5,49.6,"saddle",1,152.654842058159
"268",109.8,0.01,10,0.01,49.5,"saddle",1,1385.29626349495
"269",93.5,0.34,50,0.01,45.4,"saddle",1,154.271380392414
"270",94.1,3.04,50,2.74,49.3,"saddle",1,156.196108248249
"271",94.1,3.79,50,3.49,49.5,"saddle",1,152.6497763329
"272",92.7,0.36,50,0.01,50,"saddle",1,162.159002115062
"273",94.1,3.82,50,3.52,49.5,"saddle",1,152.8986062236
"274",94.1,4.84,50,4.54,49.6,"saddle",1,153.913179167878
"275",94.1,2.27,50,1.97,49.1,"saddle",1,153.143452005526
"276",94.1,4.85,50,4.55,49.6,"saddle",1,153.991589530741
"278",93.4,0.34,50,0.01,46.7,"saddle",1,154.637892743348
"279",94.1,5,48.5,4.71,48,"saddle",1,149.980599673835
"280",94.1,4.29,50,3.99,49.5,"saddle",1,158.181652127358
"281",93.5,0.34,50,0.01,38.5,"saddle",1,154.222601022079
"282",94.1,4.06,50,3.76,49.5,"saddle",1,155.271072028034
"283",94.1,3.66,50,3.37,49.4,"saddle",1,150.672457438123
"284",94.1,4.87,50,4.57,49.6,"saddle",1,154.150669282092
"285",94.1,4.2,50,3.91,49.5,"saddle",1,151.035632753965
"286",94.1,4.38,50,4.08,49.5,"saddle",1,159.490275521064
"287",94.1,4.64,50,4.35,49.6,"saddle",1,153.570835598277
"288",94.1,4.74,50,4.44,49.6,"saddle",1,153.17049100911
"289",94.1,4.12,50,3.82,49.5,"saddle",1,155.970251445483
"290",96.9,5,24.7,5,22.2,"minimum",1,51.1220236660282
"291",97.2,4.97,24.4,5,21.8,"saddle",1,47.2901032582262
"292",94.1,4.13,50,3.84,49.5,"saddle",1,151.292163436308
"293",94.1,3.29,50,3,49.4,"saddle",1,152.565329805295
"294",94.1,3.91,50,3.61,49.5,"saddle",1,153.708733675508
"295",93.5,0.34,50,0.01,38.6,"saddle",1,154.221857725334
"296",94.1,3.93,50,3.64,49.5,"saddle",1,152.343297142021
"297",94.1,4.53,50,4.23,49.6,"saddle",1,151.855950156354
"298",94.4,5,42.2,4.73,41.1,"saddle",1,148.407502330221
"299",94.5,5,40.5,4.74,39.3,"saddle",1,139.786069010234
"300",94.1,4.62,50,4.33,49.6,"saddle",1,153.705769215519
"301",94.1,4.03,50,3.73,49.5,"saddle",1,154.937391764262
"302",94.1,4.9,50,4.61,49.6,"saddle",1,152.090793683682
"303",94.1,4.35,50,4.06,49.5,"saddle",1,150.68037292057
"304",94.2,5,47.8,4.71,47.2,"saddle",1,150.774771054686
"305",94.1,3.88,50,3.59,49.5,"saddle",1,152.679735406184
"306",94.1,4.11,50,3.81,49.5,"saddle",1,155.850775349066
"307",94.1,4.58,50,4.29,49.6,"saddle",1,153.984672552517
"308",95.2,5,33.2,4.8,31.5,"saddle",1,111.213039420581
"309",94.1,4.71,50,4.41,49.6,"saddle",1,152.962368228063
"310",94.1,4.26,50,3.96,49.5,"saddle",1,157.766656922725
"311",94.1,4.34,50,4.04,49.5,"saddle",1,158.896880349824
"312",94.1,4.67,50,4.37,49.6,"saddle",1,152.695413306265
"313",94.6,5,39.9,4.74,38.7,"saddle",1,138.045511240905
"314",94.1,4.96,50,4.67,49.6,"saddle",1,151.821534369648
"315",94.1,4.33,50,4.03,49.5,"saddle",1,158.751477750523
"316",94.1,3.95,50,3.66,49.5,"saddle",1,152.216971178181
"317",94.1,4.15,50,3.85,49.5,"saddle",1,156.335750599158
"318",94.1,4.25,50,3.96,49.5,"saddle",1,150.887750874406
"319",94.1,4.5,50,4.21,49.6,"saddle",1,154.57862363656
"320",94.1,4.97,50,4.67,49.6,"saddle",1,154.991248551415
