"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"139",93.4,0.34,50,0.01,41.2,"saddle",15,403.229831521946
"59",93.4,0.34,50,0.01,43.3,"saddle",14,403.875093505441
"67",93.4,0.34,50,0.01,43.1,"saddle",14,403.811997912673
"94",93.4,0.34,50,0.01,40.6,"saddle",14,403.052891548819
"116",93.4,0.34,50,0.01,38.7,"saddle",14,402.516755156915
"151",93.4,0.34,50,0.01,40.7,"saddle",14,403.082138558742
"153",93.4,0.34,50,0.01,42.1,"saddle",14,403.501595760909
"172",93.4,0.34,50,0.01,39.9,"saddle",14,402.850965959905
"218",93.4,0.34,50,0.01,44.2,"saddle",14,404.163008775978
"253",93.4,0.34,50,0.01,47.8,"saddle",14,405.373018492615
"43",93.4,0.34,50,0.01,40.9,"saddle",13,403.14092616043
"53",93.4,0.34,50,0.01,47.6,"saddle",13,405.30359448935
"89",93.4,0.34,50,0.01,38.5,"saddle",13,402.462591615975
"96",93.4,0.34,50,0.01,37.8,"saddle",13,402.276647038572
"99",93.4,0.34,50,0.01,39.1,"saddle",13,402.626424467654
"104",93.4,0.34,50,0.01,37.9,"saddle",13,402.302858806996
"127",93.4,0.34,50,0.01,40.3,"saddle",13,402.965745784335
"132",93.4,0.34,50,0.01,41.8,"saddle",13,403.41018365532
"211",93.4,0.34,50,0.01,44.4,"saddle",13,404.227848551325
"256",93.4,0.34,50,0.01,47.1,"saddle",13,405.131085733909
"17",100.1,4.6,18.8,5,15.4,"saddle",12,30.1596491033953
"93",93.4,0.34,50,0.01,39,"saddle",12,402.598841239756
"100",93.4,0.34,50,0.01,38.8,"saddle",12,402.544005836456
"140",93.4,0.34,50,0.01,40.8,"saddle",12,403.111483652691
"149",93.4,0.34,50,0.01,40.1,"saddle",12,402.90815149297
"163",93.4,0.34,50,0.01,41.3,"saddle",12,403.259657059498
"254",93.4,0.34,50,0.01,46.8,"saddle",12,405.028319996103
"84",93.4,0.34,50,0.01,43.9,"saddle",11,404.066326129801
"91",93.4,0.34,50,0.01,37.2,"saddle",11,402.121911240965
"92",93.4,0.34,50,0.01,37.6,"saddle",11,402.224582380907
"103",93.4,0.34,50,0.01,39.8,"saddle",11,402.822528225929
"148",93.4,0.34,50,0.01,40.2,"saddle",11,402.936897891448
"160",93.4,0.34,50,0.01,42.6,"saddle",11,403.655721953542
"165",93.4,0.34,50,0.01,42.7,"saddle",11,403.686807573463
"168",93.4,0.34,50,0.01,42.5,"saddle",11,403.624722317519
"107",93.4,0.34,50,0.01,39.2,"saddle",10,402.654117056665
"108",93.4,0.34,50,0.01,38.2,"saddle",10,402.382202310964
"120",93.4,0.34,50,0.01,38.6,"saddle",10,402.48961683029
"159",93.4,0.34,50,0.01,42.9,"saddle",10,403.749234362423
"161",93.4,0.34,50,0.01,41.4,"saddle",10,403.28957671716
"177",93.4,0.34,50,0.01,43,"saddle",10,403.780574338542
"114",93.4,0.34,50,0.01,39.6,"saddle",9,402.765966355812
"115",93.4,0.34,50,0.01,37.7,"saddle",9,402.250554628916
"156",93.4,0.34,50,0.01,39.7,"saddle",9,402.794194787651
"176",93.4,0.34,50,0.01,40,"saddle",9,402.879507283043
"207",93.4,0.34,50,0.01,45.7,"saddle",9,404.656491453133
"209",93.4,0.34,50,0.01,43.8,"saddle",9,404.034254675501
"252",93.4,0.34,50,0.01,47.4,"saddle",9,405.234408921664
"154",93.4,0.34,50,0.01,40.4,"saddle",8,402.994694481555
"157",93.4,0.34,50,0.01,40.5,"saddle",8,403.023743297065
"162",93.4,0.34,50,0.01,39.5,"saddle",8,402.737843645387
"199",93.4,0.34,50,0.01,42.8,"saddle",8,403.717978575798
"3",94,4.98,50,4.68,49.7,"saddle",7,395.188387642928
"71",93.4,0.34,50,0.01,36.6,"saddle",7,401.971649103615
"88",93.4,0.34,50,0.01,36.9,"saddle",7,402.046209687106
"98",93.4,0.34,50,0.01,38.4,"saddle",7,402.435680278023
"101",93.4,0.34,50,0.01,38,"saddle",7,402.32918913632
"106",93.4,0.34,50,0.01,38.3,"saddle",7,402.408883585187
"193",93.4,0.34,50,0.01,46.9,"saddle",7,405.062512514352
"230",93.4,0.34,50,0.01,46.3,"saddle",7,404.858317531679
"266",93.4,0.34,50,0.01,47.3,"saddle",7,405.199906704803
"23",94,4.99,50,4.69,49.7,"saddle",6,395.115314717341
"90",93.4,0.34,50,0.01,38.1,"saddle",6,402.355637233638
"102",93.4,0.34,50,0.01,37.3,"saddle",6,402.147394711717
"110",93.4,0.34,50,0.01,37.1,"saddle",6,402.096552023085
"113",93.4,0.34,50,0.01,39.3,"saddle",6,402.681918270084
"117",93.4,0.34,50,0.01,37,"saddle",6,402.071317892029
"192",93.4,0.34,50,0.01,47.2,"saddle",6,405.165465486133
"87",93.4,0.34,50,0.01,36.7,"saddle",5,401.99637443997
"109",93.4,0.34,50,0.01,36.8,"saddle",5,402.021228253028
"125",93.4,0.34,50,0.01,46.4,"saddle",5,404.892188391651
"133",93.4,0.35,50,0.02,50,"saddle",5,406.151400296287
"208",93.4,0.34,50,0.01,46.2,"saddle",5,404.824512466891
"219",93.4,0.34,50,0.01,45.9,"saddle",5,404.723496996659
"223",93.4,0.34,50,0.01,46.1,"saddle",5,404.790773691259
"238",94,4.93,50,4.63,49.7,"saddle",5,395.573068444611
"239",94,4.97,50,4.67,49.7,"saddle",5,395.262748313432
"249",93.4,0.34,50,0.01,47,"saddle",5,405.096767918889
"14",94,4.95,50,4.65,49.7,"saddle",4,395.415332889188
"29",100.1,4.6,18.8,5,15.4,"minimum",4,30.1596491033953
"32",93.4,0.34,50,0.01,46.5,"saddle",4,404.926124555478
"111",93.4,0.34,50,0.01,37.5,"saddle",4,402.198731102484
"145",94,4.92,50,4.62,49.7,"saddle",4,395.653867839695
"236",93.4,0.34,50,0.01,46.6,"saddle",4,404.960125534457
"16",100.2,4.6,18.8,5,15.3,"saddle",3,25.886828072997
"26",94,4.96,50,4.66,49.7,"saddle",3,395.338396728853
"35",115.8,0.01,3.1,1.38,3,"saddle",3,3019.57847286987
"50",115.8,0.01,3,1.38,3,"saddle",3,3019.59645232294
"105",93.4,0.34,50,0.01,37.4,"saddle",3,402.17300160669
"123",94,4.69,50,4.39,49.6,"saddle",3,395.38721877906
"224",93.4,0.34,50,0.01,45.8,"saddle",3,404.689960078997
"225",93.4,0.34,50,0.01,46,"saddle",3,404.757101701413
"7",94,4.37,50,4.07,49.6,"saddle",2,393.23510181455
"10",94,4.73,50,4.43,49.6,"saddle",2,395.821329328477
"12",94,3.59,50,3.29,49.5,"saddle",2,393.349860567224
"18",94,3.19,50,2.89,49.5,"saddle",2,394.17167112008
"70",95,5,33.7,4.79,32,"saddle",2,301.691531024665
"81",94,4.68,50,4.38,49.6,"saddle",2,395.284423639234
"82",93.4,0.35,50,0.01,50,"saddle",2,427.546355235213
"141",94,4.87,50,4.57,49.7,"saddle",2,396.077180988864
"184",94,4.9,50,4.59,49.7,"saddle",2,413.743503260549
"187",94,4.94,50,4.64,49.7,"saddle",2,395.49355679444
"231",94,4.84,50,4.54,49.7,"saddle",2,396.346621817358
"240",94,4,50,3.7,49.6,"saddle",2,393.673729812944
"245",94,5,49.4,4.7,49,"saddle",2,393.830015043336
"264",93.4,0.34,50,0.01,46.7,"saddle",2,404.994190842498
"267",94,4.89,50,4.59,49.7,"saddle",2,395.903992494447
"273",94,2.74,50,2.44,49.4,"saddle",2,393.784409162289
"280",94,4.77,50,4.47,49.7,"saddle",2,397.020388155913
"288",94,1.35,50,1.05,48.5,"saddle",2,392.518149857176
"297",94,3.98,50,3.68,49.6,"saddle",2,393.786866395941
"299",96.8,5,25.3,4.98,22.8,"saddle",2,138.089624438183
"309",94,3.96,50,3.66,49.6,"saddle",2,393.909174974985
"310",94,4.39,50,4.09,49.6,"saddle",2,393.300819154477
"321",94,3.87,50,3.57,49.6,"saddle",2,394.573067031765
"322",94,4.57,50,4.27,49.6,"saddle",2,394.305015035949
"338",94,4.8,50,4.5,49.7,"saddle",2,396.72390468418
"350",94,4.27,50,3.97,49.6,"saddle",2,393.044095055626
"11",99.8,4.64,19.1,5,15.7,"saddle",1,13.158800416139
"19",97.2,4.97,24.2,5,21.6,"minimum",1,130.067153900494
"20",94,4.41,50,4.11,49.6,"saddle",1,393.37570849045
"24",100.3,4.58,18.6,5,15.1,"minimum",1,12.6897430994378
"25",98.2,5,26.7,5,24.3,"saddle",1,190.508758192489
"27",100.5,4.54,18.2,5,14.6,"minimum",1,23.131032523952
"28",97,4.99,24.6,5,22,"saddle",1,119.979604710213
"30",100.1,4.6,18.9,5,15.4,"saddle",1,14.8491259452272
"31",100,4.62,18.9,5,15.5,"minimum",1,11.8654536300254
"33",96.3,5,27.9,4.9,25.6,"saddle",1,222.493791155403
"34",96.4,5,27.3,4.92,25,"saddle",1,185.162800690909
"36",99.7,4.66,19.5,5,16.2,"minimum",1,32.402904926338
"37",97.5,5,25.7,5,23.2,"saddle",1,148.948692057729
"38",100.3,4.6,18.8,5,15.4,"saddle",1,15.6303295131321
"39",100.2,4.6,18.8,5,15.3,"minimum",1,25.886828072997
"40",100.2,4.6,18.9,5,15.4,"saddle",1,20.2590258926749
"42",99.9,4.61,18.8,5,15.4,"saddle",1,26.4418696009576
"44",100.3,4.58,18.6,5,15.1,"saddle",1,12.6897430994378
"45",100.4,4.57,18.6,5,15.1,"saddle",1,11.9467010798476
"46",95.7,5,30.2,4.85,28.1,"saddle",1,262.535459747804
"47",115.8,0.01,2.9,1.38,3,"saddle",1,3019.60774819094
"48",97.1,5,25.4,5,22.8,"saddle",1,142.556789181868
"49",115.8,0.04,3,1.4,3,"saddle",1,3019.40480905459
"52",95.5,5,31.8,4.82,29.9,"saddle",1,281.837932329064
"54",100.3,4.59,18.7,5,15.2,"saddle",1,20.4756895249996
"55",100.1,4.6,18.9,5,15.4,"minimum",1,14.8491259452272
"56",96.1,5,27.9,4.9,25.6,"saddle",1,205.215217741483
"57",98.8,4.76,20.6,5,17.5,"minimum",1,64.3769069023478
"60",100.3,4.61,19.1,5,15.7,"saddle",1,15.1914922247612
"61",95.1,5,33.6,4.79,31.9,"saddle",1,301.95155283044
"62",94,3.84,50,3.54,49.6,"saddle",1,394.835638366241
"63",95.7,5,30.5,4.85,28.5,"saddle",1,253.515414271322
"64",95.1,5,32.8,4.8,31,"saddle",1,292.255901637814
"65",96.3,5,27.7,4.91,25.5,"saddle",1,215.350325090222
"66",95.5,5,30.7,4.83,28.7,"saddle",1,271.986839551369
"73",100.3,4.59,18.8,5,15.3,"minimum",1,16.018561007336
"74",93.4,0.36,50,0.03,50,"saddle",1,406.151400296287
"75",95.4,5,32.1,4.82,30.2,"saddle",1,281.71739931185
"76",93.4,0.37,50,0.04,50,"saddle",1,406.151400296287
"79",100,4.62,19,5,15.6,"saddle",1,13.5886406744834
"80",95.1,5,33.7,4.79,32,"saddle",1,303.4336882658
"83",94,1.9,50,1.6,49,"saddle",1,392.819582799656
"118",98.6,4.79,21,5,17.9,"saddle",1,36.5599063928
"119",94,2.65,50,2.35,49.3,"saddle",1,393.278448710809
"121",95.5,5,31,4.83,29.1,"saddle",1,262.563670659304
"126",98.3,4.84,21.8,5,18.8,"saddle",1,50.3168239238338
"128",95,5,35,4.78,33.4,"saddle",1,318.030551535713
"134",100.1,4.59,18.6,5,15.2,"saddle",1,41.655465643123
"135",96.1,5,27.8,4.9,25.6,"saddle",1,207.82389753492
"136",95.6,5,31,4.84,29,"saddle",1,261.567957031441
"137",99.6,4.64,19,5,15.6,"minimum",1,12.9002944952647
"138",94.8,5,36.7,4.76,35.3,"saddle",1,336.07680600712
"142",97.6,5,25.7,5,23.2,"saddle",1,150.105695457409
"143",95.1,5,34.4,4.78,32.8,"saddle",1,312.486490185165
"144",100.2,4.59,18.8,5,15.3,"saddle",1,12.4175765804407
"146",94,2.52,50,2.22,49.3,"saddle",1,392.911787815595
"174",93.5,0.34,50,0.01,42.1,"saddle",1,403.470895277567
"175",96.6,5,26.2,4.95,23.7,"saddle",1,184.203775066662
"178",94.1,5,47.3,4.7,46.8,"saddle",1,392.495362597131
"179",93.2,0.34,50,0.01,40.2,"saddle",1,411.024598261703
"180",91.7,0.37,50,0.01,36.4,"saddle",1,440.485508882789
"181",100.8,4.52,18.1,5,14.5,"minimum",1,18.8449364915071
"182",100.5,4.55,18.4,5,14.9,"minimum",1,22.468976998878
"183",97.1,5,24.9,5,22.3,"minimum",1,135.78052285525
"185",100.2,4.59,18.8,5,15.3,"minimum",1,12.4175765804407
"186",94.3,5,45.6,4.71,44.9,"saddle",1,393.492795445436
"189",94,4.47,50,4.17,49.6,"saddle",1,393.655408474657
"190",94,3.48,50,3.18,49.5,"saddle",1,393.003482540829
"195",94,4.55,50,4.25,49.6,"saddle",1,394.156749731594
"206",93.7,0.34,50,0.01,39.5,"saddle",1,413.105424456587
"212",93.3,0.34,49.6,0.01,41,"saddle",1,412.702719633491
"214",94,5,47.2,4.7,46.7,"saddle",1,389.464247011804
"215",93.3,0.35,48.9,0.01,42.4,"saddle",1,410.735152701396
"216",93.3,0.34,50,0.01,43.8,"saddle",1,407.348571565563
"217",94,4.71,50,4.41,49.6,"saddle",1,395.599688055741
"220",93.4,0.34,49.9,0.01,40.9,"saddle",1,403.972950591154
"222",93.3,0.34,50,0.01,43.3,"saddle",1,407.089447810868
"226",94,3.9,50,3.6,49.6,"saddle",1,394.3311326884
"229",97.4,5,25,5,22.5,"saddle",1,131.333938935365
"232",94.2,5,43.3,4.72,42.4,"saddle",1,378.206608916558
"233",96.1,5,28,4.9,25.8,"saddle",1,212.825754885435
"234",94.1,5,47,4.71,46.5,"saddle",1,412.418734013133
"237",94.4,5,41.2,4.73,40.1,"saddle",1,373.675596919786
"241",96.5,5,26,4.95,23.5,"saddle",1,172.347028166706
"242",94,4.85,50,4.55,49.7,"saddle",1,396.255520462944
"243",94,3.55,50,3.25,49.5,"saddle",1,393.173665027858
"244",94,4.11,50,3.81,49.6,"saddle",1,393.215428035811
"246",93.3,0.35,49.1,0.01,41.9,"saddle",1,411.202848071842
"247",94.7,5,38,4.75,36.7,"saddle",1,347.114915828493
"248",94,4.7,50,4.4,49.6,"saddle",1,395.492306917893
"250",94,3.45,50,3.15,49.5,"saddle",1,392.984375646464
"257",94,1.08,50,0.78,47.9,"saddle",1,392.702639059887
"258",94,1.6,50,1.3,48.8,"saddle",1,392.654573129546
"259",94,1.42,50,1.12,48.6,"saddle",1,392.556973036916
"260",94,4.59,50,4.29,49.6,"saddle",1,394.462452336346
"261",94,1.02,50,0.72,47.8,"saddle",1,392.227624768142
"262",94,1.16,50,0.86,48.1,"saddle",1,392.728360162898
"263",94,1.39,50,1.09,48.6,"saddle",1,392.661988979421
"265",94,2.01,50,1.71,49.1,"saddle",1,392.861600438388
"268",91.4,0.4,45.7,0.01,49,"saddle",1,471.445031991283
"269",94,1.92,50,1.62,49,"saddle",1,392.940072413009
"270",94,1.78,50,1.48,48.9,"saddle",1,392.966361778764
"271",94,5,50,4.69,49.7,"saddle",1,415.919131445314
"272",90.6,0.4,50,0.01,49.3,"saddle",1,506.994882958305
"274",94,4.88,50,4.58,49.7,"saddle",1,395.989942869196
"275",94,1.29,50,0.99,48.4,"saddle",1,392.494840384768
"276",94,1.4,50,1.1,48.6,"saddle",1,392.598439464374
"277",93.4,0.34,49.8,0.01,48.6,"saddle",1,408.297370206912
"278",94,1.97,50,1.67,49.1,"saddle",1,393.113406129538
"279",94,4.9,50,4.6,49.7,"saddle",1,395.819329864612
"281",94,1.12,50,0.82,48,"saddle",1,392.761928625183
"282",94,3.49,50,3.19,49.5,"saddle",1,393.017028633246
"283",94,1.38,50,1.08,48.5,"saddle",1,392.743813352207
"284",94,3.14,50,2.84,49.5,"saddle",1,394.678110868332
"285",94,4.14,50,3.84,49.6,"saddle",1,393.138589621297
"286",94,4.65,50,4.34,49.6,"saddle",1,448.358809985478
"287",94,2.16,50,1.86,49.2,"saddle",1,393.332744520511
"289",94,1.33,50,1.03,48.5,"saddle",1,392.53180932862
"290",94,3.37,50,3.07,49.5,"saddle",1,393.091320736003
"291",94,3.74,50,3.44,49.5,"saddle",1,394.52196418343
"292",94,4.06,50,3.75,49.6,"saddle",1,423.554018149507
"293",94,1,50,0.71,47.7,"saddle",1,421.559913289686
"294",94.6,5,38.7,4.75,37.5,"saddle",1,377.7796254554
"295",94,4.62,50,4.32,49.6,"saddle",1,394.715805779537
"296",94,3.79,50,3.49,49.6,"saddle",1,395.319117237268
"298",94,4.3,50,4,49.6,"saddle",1,393.07732059368
"300",96.1,5,28.1,4.9,25.8,"saddle",1,208.737669506538
"301",94,3.34,50,3.04,49.5,"saddle",1,393.190636447522
"302",94,4.83,50,4.53,49.7,"saddle",1,396.439010916688
"303",94,4.29,50,3.99,49.6,"saddle",1,393.063952415317
"304",94,1.19,50,0.89,48.2,"saddle",1,392.492562849999
"305",94,4.58,50,4.28,49.6,"saddle",1,394.382587186642
"306",94,4.82,50,4.52,49.7,"saddle",1,396.532687760933
"307",93.3,0.34,50,0.01,48.1,"saddle",1,409.615202775228
"308",94,4.18,50,3.88,49.6,"saddle",1,393.068240388107
"311",94,3.01,50,2.71,49.4,"saddle",1,393.142207244239
"312",94,4.45,50,4.15,49.6,"saddle",1,393.553003150541
"313",99.6,4.67,19.5,5,16.2,"saddle",1,20.4949877527854
"314",95.6,5,30.6,4.84,28.6,"saddle",1,254.394485511832
"315",94,3.64,50,3.34,49.5,"saddle",1,393.650847677261
"316",94,3.75,50,3.45,49.5,"saddle",1,394.628812935026
"317",94,4.07,50,3.77,49.6,"saddle",1,393.349981241329
"318",94,4.43,50,4.13,49.6,"saddle",1,393.459769822473
"319",94,3.94,50,3.64,49.6,"saddle",1,394.040655550076
"320",94,4.91,50,4.61,49.7,"saddle",1,395.735954979696
"323",94,4.72,50,4.42,49.6,"saddle",1,395.709362192602
"324",94,3.62,50,3.32,49.5,"saddle",1,393.519687141802
"325",94,4.17,50,3.87,49.6,"saddle",1,393.082388197885
"326",94,4.76,50,4.46,49.7,"saddle",1,397.121791469659
"327",94,4.24,50,3.94,49.6,"saddle",1,393.031506508681
"328",96.5,5,26.4,4.94,24,"saddle",1,164.61368853401
"329",94.9,5,35.8,4.77,34.3,"saddle",1,326.565688010448
"330",99.6,4.64,19,5,15.6,"saddle",1,12.9002944952647
"331",94,1.43,50,1.13,48.6,"saddle",1,392.579056124507
"332",94,3.39,50,3.09,49.5,"saddle",1,393.043053080732
"333",94,3.76,50,3.46,49.5,"saddle",1,394.739250250438
"334",94,4.1,50,3.8,49.6,"saddle",1,393.245626838675
"335",94,4.39,49.7,4.09,49.3,"saddle",1,392.764969502641
"336",94,4.74,50,4.43,49.6,"saddle",1,452.844249488587
"337",94,3.35,50,3.05,49.5,"saddle",1,393.153942646534
"339",94,3.65,50,3.35,49.5,"saddle",1,393.721810790711
"340",94,3.91,50,3.61,49.6,"saddle",1,394.255073905302
"341",94,3.95,50,3.65,49.6,"saddle",1,393.973768763024
"342",94,4.79,50,4.49,49.7,"saddle",1,396.821444763174
"343",94,4.34,50,4.04,49.6,"saddle",1,393.153723297249
"344",97.6,4.92,23.2,5,20.4,"saddle",1,84.2707113219175
"345",96,5,28.9,4.88,26.7,"saddle",1,224.662176796762
"346",95.6,5,30.8,4.84,28.8,"saddle",1,257.923940245518
"347",95.8,5,29.1,4.87,27,"saddle",1,229.20592017075
"348",94,4.98,50,4.67,49.7,"saddle",1,415.473703849035
"349",94.1,5,45.9,4.71,45.3,"saddle",1,395.748350469223
"351",94,4.13,50,3.83,49.6,"saddle",1,393.161909427122
"352",94,5,49.4,4.7,49.1,"saddle",1,400.495521359767
"353",94,4.52,50,4.22,49.6,"saddle",1,393.951549267654
