"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"1",100.2,4.6,18.8,5,15.4,"saddle",25838,21.4249893082633
"2",117,3.8,1.2,5,1.9,"minimum",1933,2896.7432907121
"6",94,5,50,4.7,49.7,"saddle",164,395.04352953667
"22",93.4,0.34,50,0.01,50,"saddle",88,406.151400296287
"86",93.4,0.34,50,0.01,48.7,"saddle",77,405.688279982573
"227",93.4,0.34,50,0.01,48.6,"saddle",76,405.653026288695
"188",93.4,0.34,50,0.01,48.9,"saddle",75,405.758951029515
"41",93.4,0.34,50,0.01,49.9,"saddle",64,406.115468626389
"68",93.4,0.34,50,0.01,49.8,"saddle",59,406.079586612031
"221",93.4,0.34,50,0.01,48.8,"saddle",58,405.723588373659
"8",93.4,0.34,50,0.01,48.4,"saddle",55,405.582684733806
"78",93.4,0.34,50,0.01,49,"saddle",54,405.794367519977
"251",93.4,0.34,50,0.01,48.5,"saddle",51,405.61782772676
"4",100.2,4.6,18.8,5,15.4,"minimum",48,21.4249893082633
"5",117,3.81,1.2,5,1.9,"minimum",48,2898.73002285861
"122",93.4,0.34,50,0.01,49.2,"saddle",42,405.865360295393
"194",93.4,0.34,50,0.01,49.1,"saddle",42,405.829837417151
"228",93.4,0.34,50,0.01,48.2,"saddle",42,405.512567214595
"51",93.4,0.34,50,0.01,49.7,"saddle",40,406.043754661278
"173",93.4,0.34,50,0.01,48.3,"saddle",38,405.547597749188
"169",93.4,0.34,50,0.01,48.1,"saddle",36,405.477593574061
"13",93.4,0.34,50,0.01,45.3,"saddle",29,404.52331005761
"58",93.4,0.34,50,0.01,45.2,"saddle",26,404.490190557388
"171",93.4,0.34,50,0.01,44.7,"saddle",26,404.325674250983
"21",93.4,0.34,50,0.01,41,"saddle",24,403.170465415597
"69",93.4,0.34,50,0.01,49.5,"saddle",24,405.972242593639
"152",93.4,0.34,50,0.01,42,"saddle",24,403.471035185819
"95",93.4,0.34,50,0.01,39.4,"saddle",23,402.709827375626
"130",93.4,0.34,50,0.01,49.3,"saddle",23,405.900935731302
"201",93.4,0.34,50,0.01,45,"saddle",23,404.424166214829
"235",93.4,0.34,50,0.01,48,"saddle",23,405.442677273979
"203",93.4,0.34,50,0.01,44.3,"saddle",22,404.195390563872
"72",93.4,0.34,50,0.01,49.6,"saddle",21,406.007973184352
"150",93.4,0.34,50,0.01,41.6,"saddle",21,403.349695806735
"170",93.4,0.34,50,0.01,44,"saddle",21,404.098476003894
"191",93.4,0.34,50,0.01,45.5,"saddle",21,404.589761109283
"198",93.4,0.34,50,0.01,44.8,"saddle",21,404.358431591459
"213",93.4,0.34,50,0.01,45.1,"saddle",21,404.457142435074
"85",93.4,0.34,50,0.01,45.4,"saddle",20,404.556500414413
"155",93.4,0.34,50,0.01,42.4,"saddle",20,403.593809270256
"196",93.4,0.34,50,0.01,44.1,"saddle",20,404.130703738143
"210",93.4,0.34,50,0.01,44.9,"saddle",20,404.391262423664
"77",93.4,0.34,50,0.01,44.6,"saddle",19,404.29299093791
"124",93.4,0.34,50,0.01,42.2,"saddle",19,403.532245378523
"131",93.4,0.34,50,0.01,41.5,"saddle",19,403.319589847488
"147",93.4,0.34,50,0.01,47.5,"saddle",19,405.268971670945
"166",93.4,0.34,50,0.01,41.7,"saddle",19,403.379893954825
"200",93.4,0.34,50,0.01,43.5,"saddle",19,403.938516474154
"205",93.4,0.34,50,0.01,45.6,"saddle",19,404.623091626503
"9",93.4,0.34,50,0.01,43.6,"saddle",18,403.970349280282
"167",93.4,0.34,50,0.01,43.2,"saddle",18,403.843504496618
"202",93.4,0.34,50,0.01,43.4,"saddle",18,403.906764357445
"204",93.4,0.34,50,0.01,44.5,"saddle",18,404.260382190842
"15",93.4,0.34,50,0.01,47.7,"saddle",17,405.338276916038
"129",93.4,0.34,50,0.01,41.9,"saddle",17,403.440564275396
"255",93.4,0.34,50,0.01,47.9,"saddle",17,405.407818763112
"97",93.4,0.34,50,0.01,38.9,"saddle",16,402.571368114137
"158",93.4,0.34,50,0.01,42.3,"saddle",16,403.562983420024
"164",93.4,0.34,50,0.01,41.1,"saddle",16,403.200100755671
"197",93.4,0.34,50,0.01,43.7,"saddle",16,404.002262203718
"112",93.4,0.34,50,0.01,49.4,"saddle",15,405.936563303703
