"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"128",93.5,0.34,50,0.01,39.5,"saddle",1,192.612850724601
"137",93.3,0.34,50,0.01,41.4,"saddle",1,194.651816575089
"141",93.4,0.34,49.5,0.01,38.8,"saddle",1,195.695538047424
"144",96.7,5,24.6,5,22,"saddle",1,54.8513661607003
"158",93.4,0.34,49.9,0.01,40.1,"saddle",1,193.233293480154
"159",94.1,2.76,50,2.46,49.2,"saddle",1,193.984896007177
"161",97.8,4.89,22.7,5,19.8,"minimum",1,31.662291867885
"164",95.1,5,34,4.79,32.3,"saddle",1,142.136433097556
"165",93.4,0.37,50,0.03,50,"saddle",1,204.118176465404
"166",94.1,4.75,50,4.45,49.6,"saddle",1,188.676812434263
"167",96.3,5,27.4,4.92,25.1,"saddle",1,86.6606341927896
"168",94.1,3.85,50,3.55,49.5,"saddle",1,188.580175764904
"169",99.8,4.65,19.4,5,16,"saddle",1,7.62836568057085
"170",95.8,5,30.2,4.85,28.2,"saddle",1,112.785886646829
"172",100.4,4.58,18.6,5,15.1,"saddle",1,8.47552945296608
"174",94.1,4.29,50,4,49.5,"saddle",1,186.636856965295
"186",93.7,0.33,50,0.01,39.5,"saddle",1,198.098457600076
"195",93.4,0.34,49.7,0.01,42.2,"saddle",1,195.062709881628
"196",93.3,0.35,49.1,0.01,42.1,"saddle",1,196.951962657687
"201",93.3,0.35,50,0.01,46.2,"saddle",1,200.301177379422
"202",94.1,3.46,50,3.16,49.4,"saddle",1,191.618516921589
"206",91.6,0.37,50,0.01,38.6,"saddle",1,218.260889717147
"207",93.4,0.34,49.9,0.01,40.8,"saddle",1,193.378956254135
"209",93.4,0.34,49.6,0.01,40.6,"saddle",1,195.409356002133
"211",96.7,5,24.9,4.99,22.4,"minimum",1,69.1947631306976
"213",93.5,0.34,50,0.01,38.7,"saddle",1,192.562001660635
"215",99.5,4.64,19,5,15.6,"minimum",1,8.00882623437083
"216",95.5,5,31.5,4.83,29.6,"saddle",1,124.357226579793
"217",93.3,0.34,50,0.01,43.6,"saddle",1,195.293535629952
"218",94.1,2.93,50,2.64,49.3,"saddle",1,189.302094324119
"219",94.1,4.84,50,4.55,49.6,"saddle",1,190.198329694919
"221",94.1,3.67,50,3.37,49.4,"saddle",1,195.902334231115
"222",94.1,4.93,50,4.64,49.6,"saddle",1,189.309631267812
"224",94.1,4.46,50,4.17,49.6,"saddle",1,194.981999955891
"225",94.1,4.09,50,3.8,49.5,"saddle",1,188.288684477355
"228",94.1,4.12,50,3.83,49.5,"saddle",1,187.994818370734
"229",94.1,4.62,50,4.32,49.6,"saddle",1,187.691661594066
"238",94.1,4.86,50,4.57,49.6,"saddle",1,189.992756367103
"241",94.1,4.94,50,4.64,49.6,"saddle",1,190.467759090629
"242",94.1,4.88,50,4.59,49.6,"saddle",1,189.791802918407
"243",94.1,1.75,50,1.46,48.7,"saddle",1,187.834526420119
"247",93.6,0.34,50,0.01,49.3,"saddle",1,194.060781681893
"248",94.1,2.73,50,2.43,49.2,"saddle",1,193.168005825033
"249",94.1,2.53,50,2.23,49.2,"saddle",1,188.791465742507
"250",94.1,2.64,50,2.35,49.2,"saddle",1,188.515985661785
"251",94.1,2.54,50,2.24,49.2,"saddle",1,188.966122105683
"252",94.1,3.03,50,2.73,49.3,"saddle",1,192.090585524298
"254",94.1,2.18,50,1.88,49,"saddle",1,191.232165515989
"256",94.1,2.95,50,2.65,49.3,"saddle",1,190.488193378616
"258",94.1,4.53,50,4.24,49.6,"saddle",1,193.975483318307
"259",94.1,1.94,50,1.65,48.9,"saddle",1,189.853750482922
"260",94.1,1.63,50,1.33,48.6,"saddle",1,190.795345952236
"261",94.1,2.05,50,1.75,48.9,"saddle",1,192.624639760938
"262",94.1,4.69,50,4.4,49.6,"saddle",1,191.887388300424
"263",94.1,2.59,50,2.3,49.2,"saddle",1,189.428235598441
"264",94,5,50,4.69,49.7,"saddle",1,196.178645850594
"265",94.1,4.26,50,3.97,49.5,"saddle",1,186.838539112292
"266",94.1,3.15,50,2.85,49.4,"saddle",1,187.396035398177
"267",94.1,4.79,50,4.5,49.6,"saddle",1,190.732474985596
"268",109.8,0.01,10,0.01,49.5,"saddle",1,2054.24052986006
"269",93.5,0.34,50,0.01,45.4,"saddle",1,193.120428758887
"270",94.1,3.04,50,2.74,49.3,"saddle",1,192.306878042366
"271",94.1,3.79,50,3.49,49.5,"saddle",1,187.995690947272
"272",92.7,0.36,50,0.01,50,"saddle",1,199.943828819984
"273",94.1,3.82,50,3.52,49.5,"saddle",1,188.279799477298
"274",94.1,4.84,50,4.54,49.6,"saddle",1,189.473181947197
"275",94.1,2.27,50,1.97,49.1,"saddle",1,188.565693607181
"276",94.1,4.85,50,4.55,49.6,"saddle",1,189.56744229753
"278",93.4,0.34,50,0.01,46.7,"saddle",1,193.996928568974
"279",94.1,5,48.5,4.71,48,"saddle",1,185.881627420191
"280",94.1,4.29,50,3.99,49.5,"saddle",1,194.854679242979
"281",93.5,0.34,50,0.01,38.5,"saddle",1,192.550055411
"282",94.1,4.06,50,3.76,49.5,"saddle",1,191.138306990411
"283",94.1,3.66,50,3.37,49.4,"saddle",1,186.319018070773
"284",94.1,4.87,50,4.57,49.6,"saddle",1,189.75942790754
"285",94.1,4.2,50,3.91,49.5,"saddle",1,187.290706679026
"286",94.1,4.38,50,4.08,49.5,"saddle",1,196.569195984844
"287",94.1,4.64,50,4.35,49.6,"saddle",1,192.508156324574
"288",94.1,4.74,50,4.44,49.6,"saddle",1,188.594101781723
"289",94.1,4.12,50,3.82,49.5,"saddle",1,192.0156114445
"290",96.9,5,24.7,5,22.2,"minimum",1,69.2330671709258
"291",97.2,4.97,24.4,5,21.8,"saddle",1,64.5857658376359
