"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"334",100.7,5,19.1,14,0.82,18.9,"saddle",1,39.1107016387931
"335",100.8,5,19.1,14,0.83,18.8,"saddle",1,38.3307073422324
"336",100.9,5,19.1,13.9,0.85,19.5,"saddle",1,47.4542202913203
"337",100.1,1.69,35.3,6.4,1.04,36.3,"saddle",1,1.5901550167713
"343",100.4,5,21,14.8,0.77,26.6,"saddle",1,59.3970617169759
"354",100.5,5,21.1,14.9,0.77,27.2,"saddle",1,44.061411286362
"355",100.1,1.64,29.9,6.2,1.04,26.6,"saddle",1,0.289429724381445
"363",100.1,1.68,38.2,6.4,1.04,40.7,"saddle",1,0.63566987829318
"369",100.1,1.69,37.1,6.4,1.04,38.9,"saddle",1,3.69160422498793
"371",100.1,1.68,37.4,6.4,1.04,39.5,"saddle",1,2.99588922571007
"377",100.1,1.68,31.2,6.4,1.04,29.3,"saddle",1,0.370932965697125
"378",100.6,5,20.3,14.4,0.8,24.2,"saddle",1,43.1815504972744
"382",100.1,1.69,36.6,6.4,1.04,38.3,"saddle",1,0.328906159611821
"385",100.1,1.67,40.4,6.3,1.04,43.9,"minimum",1,3.56737480400744
"388",100.1,1.67,30.8,6.3,1.04,28.5,"saddle",1,0.718320105889156
"390",100.1,1.69,36.4,6.4,1.04,38,"saddle",1,0.349455823884908
"395",100.6,5,20.5,14.5,0.79,25,"saddle",1,50.1594574656599
"403",100.5,5,19.3,14.1,0.81,19.7,"saddle",1,37.7196465759457
"404",100.5,5,20.3,14.5,0.79,24.2,"saddle",1,42.4788395973402
"409",100.1,1.68,37.1,6.4,1.04,39,"saddle",1,3.04327240303529
"413",100.1,1.67,39.4,6.3,1.04,42.3,"minimum",1,1.5911364925469
"414",100.1,1.67,39.2,6.3,1.04,42.2,"minimum",1,0.598311170155828
"415",100.1,1.67,40.1,6.3,1.04,43.5,"minimum",1,1.43567465376547
"416",100.7,5,19.2,14,0.83,19.8,"saddle",1,48.3134744498248
"417",100.1,1.67,40.3,6.3,1.04,43.8,"minimum",1,2.09736537971844
"418",100,1.58,28.6,6,1.05,23.4,"minimum",1,1.09501375750938
"421",100.1,1.67,40.3,6.3,1.04,43.6,"minimum",1,7.4807802419609
"422",100.1,1.68,31.3,6.4,1.04,29.5,"saddle",1,0.729348054448431
"423",100,1.48,27.9,5.6,1.05,20.6,"minimum",1,3.45800523609625
"428",100.1,1.66,41.9,6.2,1.04,46.1,"minimum",1,8.73885366525478
"429",100.7,5,19.2,14,0.83,19.1,"saddle",1,42.8879122563256
"430",100.1,1.68,37.2,6.4,1.04,39,"saddle",1,0.541256928075115
