"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"4",100,0.74,32.2,10,1.05,4.9,"minimum",39401,0.101014669073542
"1",100,1.53,28.1,5.8,1.05,21.9,"minimum",33266,1.02888899028573
"8",100,1.53,28.2,5.8,1.05,21.9,"minimum",5811,0.94370068540851
"2",100.1,1.64,44,6.2,1.04,49,"minimum",4380,2.03408850767569
"3",121.2,5,1.2,2.1,1.97,2.1,"minimum",1519,4417.29031083419
"10",100,1.52,28.1,5.8,1.05,21.8,"minimum",1505,7.0102879055306
"12",100,1.52,28.1,5.8,1.05,21.9,"minimum",953,15.9346407991113
"15",100.1,1.64,44.7,6.1,1.04,50,"minimum",940,30.5644782132998
"17",100,5,22.4,19.3,1.06,4.1,"saddle",621,8.26641206566088
"9",100.7,5,19.2,14,0.82,19.2,"saddle",613,98.2975660858849
"18",100,0.74,32.1,10,1.05,4.9,"minimum",601,0.37858643262194
"16",100,1.53,28.2,5.8,1.05,22,"minimum",352,0.402234992953656
"61",100.1,1.64,43.9,6.2,1.04,48.9,"minimum",347,0.773285125209646
"6",100,1.52,28.1,5.8,1.05,21.7,"minimum",278,1.79942114349107
"25",100,1.53,28.2,5.8,1.05,22.1,"minimum",198,3.56300414103341
"14",100.1,0.65,33.8,6.4,1.04,6.4,"saddle",146,1.83828231983018
"59",100.1,1.64,44,6.2,1.04,49.1,"minimum",136,0.506882464299666
"19",99.9,1.04,28.6,4.4,1.05,13.3,"saddle",114,1.22598241152199
"26",121,5,1,2.3,1.96,1,"saddle",106,4424.56220078779
"109",100.1,1.69,34.2,6.4,1.04,34.4,"saddle",105,0.894523060799841
"92",100.1,1.69,33.7,6.4,1.04,33.6,"saddle",103,1.07515355714924
"65",100.1,1.69,33.5,6.4,1.04,33.3,"saddle",98,1.52512428289246
"55",100,1.52,28.1,5.8,1.05,21.6,"minimum",95,0.31676505064211
"122",100.1,1.69,34.1,6.4,1.04,34.3,"saddle",94,2.14751454237811
"51",100.1,1.69,34.3,6.4,1.04,34.6,"saddle",93,1.50108353767669
"74",100.1,1.69,33.4,6.4,1.04,33.1,"saddle",90,0.880028085480036
"149",100.1,1.69,33.6,6.4,1.04,33.4,"saddle",89,0.675526731557039
"67",100.1,1.69,33.8,6.4,1.04,33.8,"saddle",83,1.83828231983023
"123",100.1,1.69,33.3,6.4,1.04,32.9,"saddle",83,0.615644530007067
"166",100.1,1.69,34.5,6.4,1.04,34.9,"saddle",80,1.02278681680062
"217",100.1,1.64,44.1,6.2,1.04,49.1,"minimum",79,4.09372978546994
"143",100.1,1.69,33.6,6.4,1.04,33.5,"saddle",76,2.5398518550813
"40",100,1.54,28.2,5.8,1.05,22.2,"minimum",75,0.222588854357862
"48",99.9,1.04,28.6,4.4,1.05,13.4,"saddle",75,3.3442715879854
"152",100.1,1.69,33.3,6.4,1.04,33,"saddle",72,2.11677387725237
"80",100.1,1.69,33.2,6.4,1.04,32.8,"saddle",71,1.22492318486958
"35",100.1,1.69,33.9,6.4,1.04,33.9,"saddle",69,0.774106005325927
"141",100.1,1.69,34.4,6.4,1.04,34.8,"saddle",68,2.43884177002642
"148",100.1,1.69,34.4,6.4,1.04,34.7,"saddle",68,0.667666066974809
"66",100.1,1.69,34.2,6.4,1.04,34.5,"saddle",65,3.34431670029861
"116",100.1,1.69,33.1,6.4,1.04,32.6,"saddle",64,0.720299591286443
"193",100.1,1.69,34.6,6.4,1.04,35.1,"saddle",64,1.70388439055857
"7",100.1,1.64,44.6,6.1,1.04,49.9,"minimum",63,24.3068194447032
"119",100.1,1.69,33.9,6.4,1.04,34,"saddle",60,2.95417223906813
"38",100.1,1.69,34,6.4,1.04,34.1,"saddle",59,1.28730846337473
"146",100.1,1.69,33.4,6.4,1.04,33.2,"saddle",58,3.38458388444174
"130",100.1,1.64,43.9,6.2,1.04,48.8,"minimum",56,2.77153933887512
"42",100.1,1.69,33.5,6.4,1.04,33.2,"saddle",55,0.6502997236931
"5",100.1,1.65,43.4,6.2,1.04,48.2,"minimum",51,15.3193518003905
"129",100.1,1.69,34.1,6.4,1.04,34.2,"saddle",51,0.629393839148414
"191",100.1,1.69,34.7,6.4,1.04,35.2,"saddle",50,0.720659604341821
"198",100.1,1.69,34.8,6.4,1.04,35.4,"saddle",50,1.14763510562658
"60",100.1,1.64,44.2,6.2,1.04,49.3,"minimum",49,3.18456279412439
"32",100.1,1.64,44.1,6.2,1.04,49.2,"minimum",48,1.44552864883574
"188",100.1,1.64,43.8,6.2,1.04,48.7,"minimum",48,1.18480732300341
"134",100.1,1.69,33,6.4,1.04,32.4,"saddle",47,0.61433222772728
"88",100.1,1.69,32.9,6.4,1.04,32.3,"saddle",46,0.957613039561008
"53",100.1,1.69,33.7,6.4,1.04,33.7,"saddle",45,3.91328832791985
"241",100.1,1.64,43.7,6.2,1.04,48.6,"minimum",44,0.39923616620126
"36",100.1,1.65,42.8,6.2,1.04,47.3,"minimum",43,7.68411195983738
"258",100.1,1.65,42.5,6.2,1.04,46.9,"minimum",42,3.29973171841065
"56",100.1,1.65,42.3,6.2,1.04,46.6,"minimum",40,2.18948802465862
"69",100,1.54,28.3,5.9,1.05,22.3,"minimum",40,4.52126373752136
"224",100.1,1.64,43.8,6.2,1.04,48.8,"minimum",40,0.31522170963115
"158",100.1,1.65,43.3,6.2,1.04,48,"minimum",38,17.2304534514601
"246",100.1,1.65,43,6.2,1.04,47.6,"minimum",38,9.9036722245025
"177",100.1,1.65,42.6,6.2,1.04,47,"minimum",36,5.78021881006597
"178",100.1,1.65,43.1,6.2,1.04,47.7,"minimum",36,14.1949736513742
"211",100.1,1.69,35,6.4,1.04,35.7,"saddle",36,0.778393655132094
"43",100.1,1.69,33.8,6.4,1.04,33.7,"saddle",35,0.618469288889342
"57",100.1,1.65,43.2,6.2,1.04,47.9,"minimum",35,12.4463061501765
"81",100.1,1.69,34.6,6.4,1.04,35,"saddle",35,0.614612689788064
"131",100.1,1.69,33,6.4,1.04,32.5,"saddle",35,1.70335175117866
"163",100.1,1.69,34.7,6.4,1.04,35.3,"saddle",34,2.70104686993078
"179",100.1,1.69,34.9,6.4,1.04,35.6,"saddle",34,1.88579399074603
"181",100.1,1.69,34,6.4,1.04,34.2,"saddle",34,4.41223878486605
"268",100.1,1.65,42.7,6.2,1.04,47.2,"minimum",34,4.71482307816692
"54",99.9,1.03,28.6,4.4,1.05,13.3,"saddle",33,11.856906714631
"189",100.1,1.65,43.4,6.2,1.04,48.1,"minimum",33,22.8381117661645
"20",100.1,1.64,44,6.2,1.04,48.9,"minimum",32,5.15553807543206
"231",100.1,1.65,42.9,6.2,1.04,47.4,"minimum",32,11.485726092844
"62",100,1.51,28.1,5.8,1.05,21.5,"minimum",30,2.97119311325931
"121",100,1.51,28.1,5.8,1.05,21.6,"minimum",30,8.98814184342768
"108",100.1,1.69,34.3,6.4,1.04,34.7,"saddle",29,4.86746110862182
"173",100.1,1.69,33.2,6.4,1.04,32.7,"saddle",29,0.743214512378129
"288",100.1,1.65,42.4,6.2,1.04,46.7,"minimum",29,4.18451981262136
"111",100.1,1.69,34.3,6.4,1.04,34.5,"saddle",28,0.648584481769214
"269",100.1,1.65,42.7,6.2,1.04,47.1,"minimum",28,9.09538515531313
"37",100.1,1.64,44.6,6.1,1.04,49.8,"minimum",27,33.0717208189135
"175",100.1,1.69,34.9,6.4,1.04,35.5,"saddle",27,0.602853554693263
"185",100.1,1.69,35.1,6.4,1.04,35.9,"saddle",27,1.26040099162013
"155",100.1,1.69,33.1,6.4,1.04,32.7,"saddle",26,2.84303914959985
"242",100.1,1.65,42.2,6.2,1.04,46.5,"minimum",26,1.03552393896073
"153",100.1,1.69,34.5,6.4,1.04,35,"saddle",24,3.69771631696537
"222",100.1,1.69,32.8,6.4,1.04,32.1,"saddle",23,0.617443617926435
"293",100.1,1.64,43.5,6.2,1.04,48.3,"minimum",23,0.316154631204362
"176",100.1,1.69,35.2,6.4,1.04,36,"saddle",22,0.604558454616927
"250",100.1,1.65,42.1,6.2,1.04,46.3,"minimum",22,1.37647336022969
"204",100.1,1.69,35.1,6.4,1.04,35.8,"saddle",21,0.677625989000125
"270",100.1,1.65,43.1,6.2,1.04,47.8,"minimum",21,8.48969954442381
"137",100.1,1.64,44.3,6.2,1.04,49.4,"minimum",20,5.72008778645916
"264",100.1,1.64,43.6,6.2,1.04,48.4,"minimum",20,0.629571097358888
"294",100.1,1.66,41.8,6.2,1.04,45.9,"minimum",20,19.4817315241318
"157",100.1,1.64,43.6,6.2,1.04,48.5,"minimum",19,0.418732718561407
"162",100.1,1.69,34,6.4,1.04,34,"saddle",19,0.716082299636834
"240",100.1,1.66,41.9,6.2,1.04,46,"minimum",19,25.4039121251797
"275",100.1,1.65,43.2,6.2,1.04,47.8,"minimum",19,19.3121862526067
"187",100.1,1.65,43.3,6.2,1.04,48.1,"minimum",18,10.8643915904446
"218",100.1,1.69,35.3,6.4,1.04,36.2,"saddle",18,0.833402990692271
"230",100.1,1.65,42.9,6.2,1.04,47.5,"minimum",18,6.44231642413623
"24",99.9,1.03,28.7,4.4,1.05,13.3,"saddle",17,5.62682771096179
"39",100.1,1.64,44.4,6.1,1.04,49.6,"minimum",17,20.726879595355
"100",100.1,1.64,44.5,6.1,1.04,49.7,"minimum",17,26.5069187415892
"159",100.1,1.66,41.7,6.2,1.04,45.7,"minimum",17,21.7173422011523
"186",100.1,1.65,42,6.2,1.04,46.1,"minimum",17,1.88749350783919
"212",100.1,1.69,34.8,6.4,1.04,35.3,"saddle",17,0.743361929782604
"252",100.1,1.66,41.4,6.3,1.04,45.3,"minimum",17,1.65891171645415
"259",100.1,1.65,42.2,6.2,1.04,46.4,"minimum",17,2.88947776396949
"260",100.1,1.65,42.6,6.2,1.04,47.1,"minimum",17,2.58191132907671
"289",100.1,1.65,42,6.2,1.04,46.2,"minimum",17,0.706842490016182
"156",100.1,1.64,44.3,6.2,1.04,49.5,"minimum",16,2.4231238115043
"247",100.1,1.65,42.5,6.2,1.04,46.8,"minimum",16,7.01655892810537
"308",100.1,1.66,41.3,6.3,1.04,45.1,"minimum",15,2.39396782872005
"329",100.1,1.65,42.4,6.2,1.04,46.8,"minimum",15,1.65798009775674
"138",100.1,1.69,32.9,6.4,1.04,32.2,"saddle",14,0.918612396711364
"164",100.1,1.69,33.4,6.4,1.04,33,"saddle",14,1.0105283508553
"278",100.1,1.64,43.7,6.2,1.04,48.5,"minimum",14,1.74644695992051
"307",100.1,1.66,41.5,6.3,1.04,45.4,"minimum",14,3.62007065863811
"64",100.1,1.66,40.9,6.3,1.04,44.6,"minimum",13,0.420805716530717
"118",100,1.54,28.2,5.8,1.05,22.1,"minimum",13,1.6093299761711
"133",100.1,1.69,32.7,6.4,1.04,31.9,"saddle",13,0.694628010229025
"229",100.1,1.69,33.2,6.4,1.04,32.9,"saddle",13,4.36521772617694
"295",100.1,1.65,43.5,6.2,1.04,48.3,"minimum",13,20.5994227952029
"58",100.1,1.69,33.8,6.4,1.04,33.9,"saddle",12,5.63466917200386
"75",100,1.51,28,5.8,1.05,21.5,"minimum",12,11.4295027198912
"106",100,1.54,28.3,5.9,1.05,22.4,"minimum",12,11.5530599013345
"154",100.1,1.69,33.5,6.4,1.04,33.4,"saddle",12,5.01724593369704
"197",100.1,1.66,41.8,6.2,1.04,45.8,"minimum",12,27.9990680219127
"253",100.1,1.65,42.1,6.2,1.04,46.2,"minimum",12,3.7635644384943
"296",100.1,1.66,41,6.3,1.04,44.7,"minimum",12,0.504895374434958
"23",100,0.74,32.2,9.9,1.05,5,"minimum",11,0.109295573435873
"49",99.9,1.03,28.7,4.4,1.05,13.2,"saddle",11,1.61945753994928
"105",100,1.51,28,5.8,1.05,21.4,"minimum",11,4.24953287573322
"150",100.1,1.69,33.7,6.4,1.04,33.5,"saddle",11,0.831115865094468
"223",100.1,1.69,35.4,6.4,1.04,36.3,"saddle",11,0.634616489841328
"251",100.1,1.66,41.6,6.2,1.04,45.6,"minimum",11,16.2987141978519
"254",100.1,1.69,35,6.4,1.04,35.8,"saddle",11,2.92553896928483
"279",100.1,1.65,42.8,6.2,1.04,47.2,"minimum",11,13.2411873007329
"290",100.1,1.66,41.7,6.2,1.04,45.8,"minimum",11,14.4244307212795
"41",100.1,1.64,44.2,6.2,1.04,49.2,"minimum",10,6.94831966518973
"89",100.1,1.69,35.7,6.4,1.04,36.8,"saddle",10,0.609132617553791
"110",100.1,1.64,44.5,6.1,1.04,49.8,"minimum",10,18.8354042004565
"205",100.1,1.69,35.2,6.4,1.04,36.1,"saddle",10,2.03944062801665
"209",100.1,1.69,33.1,6.4,1.04,32.5,"saddle",10,1.27413938046545
"263",100.1,1.66,41.6,6.3,1.04,45.5,"minimum",10,6.45255893077019
"267",100.1,1.69,32.7,6.4,1.04,32,"saddle",10,1.32114620943562
"274",100.1,1.64,43.5,6.2,1.04,48.4,"minimum",10,1.24721652446441
"303",100.1,1.66,41.1,6.3,1.04,44.8,"minimum",10,1.46922001431126
"304",100.1,1.66,40.8,6.3,1.04,44.4,"minimum",10,0.366165486239018
"352",100.1,1.65,43,6.2,1.04,47.5,"minimum",10,16.1156264349562
"172",100.1,1.69,35.3,6.4,1.04,36.1,"saddle",9,0.953329556199072
"200",100.1,1.69,34.8,6.4,1.04,35.5,"saddle",9,4.00451187326874
"201",100.1,1.69,32.8,6.4,1.04,32.2,"saddle",9,2.30865744859426
"257",100.1,1.66,40.5,6.3,1.04,44,"minimum",9,1.41077787398679
"277",100.1,1.64,44.2,6.2,1.04,49.4,"minimum",9,1.00095114292999
"325",100.1,1.66,41.3,6.3,1.04,45.2,"minimum",9,0.573290519165738
"21",100.7,5,19.2,14,0.82,19.1,"saddle",8,110.584396170261
"202",100.1,1.69,35,6.4,1.04,35.6,"saddle",8,1.06202556935645
"261",100,1.54,28.2,5.9,1.05,22.2,"minimum",8,6.3499714498615
"262",100.1,1.66,41.4,6.3,1.04,45.2,"minimum",8,4.72853550352654
"280",100.1,1.65,43,6.2,1.04,47.7,"minimum",8,5.36467630157604
"305",100.1,1.69,35.6,6.4,1.04,36.6,"saddle",8,0.877133611619555
"326",100.1,1.66,41.2,6.3,1.04,45,"minimum",8,0.93308812932542
"335",100.1,1.65,42.8,6.2,1.04,47.4,"minimum",8,3.81495361520724
"350",100.1,1.64,44.4,6.2,1.04,49.5,"minimum",8,9.04821935535733
"52",100.7,5,19.2,14,0.82,19.3,"saddle",7,88.4586045083562
"135",100.1,1.69,32.6,6.4,1.04,31.7,"saddle",7,1.20111547648368
"210",100.1,1.69,35.8,6.4,1.04,37,"saddle",7,0.6254355289029
"215",100.1,1.69,35.5,6.4,1.04,36.5,"saddle",7,0.613417035364582
"292",100.1,1.66,41.1,6.3,1.04,44.9,"minimum",7,0.350108598652797
"297",100.1,1.66,41.6,6.3,1.04,45.6,"minimum",7,2.69047645231306
"298",100.1,1.65,42.3,6.2,1.04,46.5,"minimum",7,5.24179134644456
"302",100.1,1.66,40.7,6.3,1.04,44.3,"minimum",7,0.777130678611607
"47",100.7,5,18.8,14.4,0.82,14.4,"saddle",6,91.3218527447836
"91",100.1,1.64,44.4,6.2,1.04,49.6,"minimum",6,4.64330852007239
"115",100,1.54,28.3,5.9,1.05,22.2,"minimum",6,1.1547054194655
"165",100.1,1.69,34.6,6.4,1.04,35.2,"saddle",6,5.26777691471414
"206",100.1,1.69,35.6,6.4,1.04,36.7,"saddle",6,0.880612957842969
"228",100.1,1.69,34.5,6.4,1.04,34.8,"saddle",6,0.839388367473734
"239",100.1,1.69,35.4,6.4,1.04,36.4,"saddle",6,1.35488432986157
"255",100.1,1.66,41.4,6.3,1.04,45.4,"minimum",6,0.383979233121065
"309",100.1,1.69,35.7,6.4,1.04,36.9,"saddle",6,1.42722822960056
"30",100,0.74,32.1,10.1,1.05,4.9,"minimum",5,2.65925958703692
"77",100.7,5,19.1,14,0.82,19,"saddle",5,73.3470644081878
"101",100.1,0.65,33.8,6.5,1.04,6.4,"saddle",5,4.8164732967598
"167",100.1,1.67,40.2,6.3,1.04,43.6,"minimum",5,5.26763826893544
"225",100.1,1.69,36,6.4,1.04,37.3,"saddle",5,0.598218295408185
