"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"3",100,0.74,32.1,10,1.05,4.9,"minimum",38922,0.123479841797374
"2",100,1.51,28.1,5.8,1.05,21.6,"minimum",17384,2.95195367370707
"5",100,1.51,28.1,5.8,1.05,21.5,"minimum",12086,0.975028008146919
"1",100,1.52,28.1,5.8,1.05,21.6,"minimum",8634,0.109594090120668
"17",100.1,1.64,44.7,6.1,1.05,50,"minimum",4099,0.247698653388274
"4",119.9,5,1,1.8,1.94,1.8,"minimum",1636,1515.63545338488
"14",100,1.51,28,5.8,1.05,21.5,"minimum",1332,3.74952067543942
"9",100.1,5,19.4,14.4,0.76,19.4,"saddle",913,19.9334444301836
"29",99.9,5,22.3,19.2,1.03,4.2,"saddle",587,2.32565830214695
"40",100,1.52,28.1,5.8,1.05,21.7,"minimum",409,0.58669431032238
"24",100,1.51,28,5.7,1.05,21.4,"minimum",405,0.0938915181905723
"19",100,0.74,32.1,10.1,1.05,4.9,"minimum",328,0.875695888249912
"11",100,0.74,32.2,10,1.05,4.9,"minimum",327,0.033876372265397
"15",100,0.75,32.1,10.1,1.05,4.9,"minimum",198,0.511135770165921
"45",100,1.52,28.1,5.8,1.05,21.8,"minimum",184,2.29670867873878
"21",99.9,1.04,28.6,4.5,1.03,13.4,"saddle",178,0.838994122567416
"13",100.1,0.65,33.9,6.4,1.05,6.4,"saddle",176,0.927697160450627
"16",100,1.51,28,5.7,1.05,21.5,"minimum",148,0.478266052922846
"42",100,1.5,28,5.7,1.05,21.2,"minimum",140,0.0482890048666007
"23",100,1.5,28,5.7,1.05,21.3,"minimum",110,0.689299958997416
"51",100,1.51,28,5.7,1.05,21.3,"minimum",107,0.954910039431167
"25",100.1,1.7,34.2,6.4,1.05,34.4,"saddle",104,1.06632691332217
"74",100.1,1.64,44.6,6.1,1.05,49.9,"minimum",103,0.638636001247074
"52",99.9,1.03,28.7,4.5,1.03,13.3,"saddle",99,0.46444858759516
"91",100.1,1.7,33.5,6.4,1.05,33.3,"saddle",97,1.48277533428539
"105",100.1,1.7,34.4,6.4,1.05,34.7,"saddle",96,0.815992100991529
"60",100,1.53,28.2,5.8,1.05,22,"minimum",95,0.131510835325246
"225",100.1,1.7,33.5,6.4,1.05,33.2,"saddle",89,0.514096938151152
"185",100.1,1.7,33.3,6.4,1.05,32.9,"saddle",88,0.6475330838717
"138",100.1,1.7,33.6,6.4,1.05,33.4,"saddle",87,0.786011522555063
"12",100,1.53,28.1,5.8,1.05,21.9,"minimum",86,0.331855411199053
"94",100.1,1.7,33.1,6.4,1.05,32.6,"saddle",86,0.819461837210225
"7",100.1,1.7,33.4,6.4,1.05,33.1,"saddle",83,1.00077701220978
"184",100.1,1.7,34.8,6.4,1.05,35.4,"saddle",83,1.31425813522255
"101",100.1,1.7,34.1,6.4,1.05,34.2,"saddle",82,0.714907239005886
"226",100.1,1.7,34.3,6.4,1.05,34.6,"saddle",82,1.53289021772997
"252",100.1,1.7,34.5,6.4,1.05,34.9,"saddle",81,1.19662544290522
"143",100.1,1.7,33,6.4,1.05,32.4,"saddle",79,0.519561662974339
"221",100.1,1.7,34.7,6.4,1.05,35.2,"saddle",77,0.910804087444038
"124",100.1,1.7,33.7,6.4,1.05,33.6,"saddle",74,1.18447168520201
"140",100.1,1.7,34.9,6.4,1.05,35.5,"saddle",74,0.678136532072068
"89",100.1,1.7,34.1,6.4,1.05,34.3,"saddle",73,1.91692830259699
"104",100.1,1.7,34,6.4,1.05,34.1,"saddle",73,1.36376400697491
"90",100,1.53,28.2,5.8,1.05,21.9,"minimum",72,0.322782626898529
"154",100.1,1.7,32.8,6.4,1.05,32.1,"saddle",72,0.648376531335313
"57",100.1,1.7,33.9,6.4,1.05,33.9,"saddle",70,0.927697160450632
"167",100.1,1.7,33.2,6.4,1.05,32.7,"saddle",69,0.426903947455245
"180",100.1,1.7,33.3,6.4,1.05,33,"saddle",69,1.82021021594981
"75",100.1,1.7,33.8,6.4,1.05,33.8,"saddle",68,1.70573512123224
"182",100.1,1.7,34.6,6.4,1.05,35,"saddle",68,0.615374437839244
"215",100.1,1.7,34.6,6.4,1.05,35.1,"saddle",66,1.68705627716035
"264",100.1,1.7,34.3,6.4,1.05,34.5,"saddle",66,0.548610720563998
"6",100.1,5,19.4,14.4,0.76,19.5,"saddle",64,21.3119453560825
"46",100.1,1.7,33.8,6.4,1.05,33.7,"saddle",64,0.612354432314602
"251",100.1,1.7,32.9,6.4,1.05,32.3,"saddle",64,1.0276885492113
"162",100.1,1.7,32.9,6.4,1.05,32.2,"saddle",63,0.35860020945685
"205",100.1,1.7,33.2,6.4,1.05,32.8,"saddle",62,1.25431974405119
"275",100.1,1.7,35.2,6.4,1.05,36,"saddle",62,0.733430346887477
"98",100,1.53,28.1,5.8,1.05,21.8,"minimum",60,0.119110446189884
"27",100.1,1.7,33.6,6.4,1.05,33.5,"saddle",57,2.08972261259977
"203",100.1,1.7,35.1,6.4,1.05,35.8,"saddle",55,0.501369807563121
"232",100.1,1.7,35,6.4,1.05,35.7,"saddle",55,0.995450862884264
"76",100.1,1.64,44.7,6.1,1.05,49.9,"minimum",51,0.131591327629087
"274",100.1,1.7,35.4,6.4,1.05,36.3,"saddle",51,0.531023363692168
"223",100.1,1.65,43.5,6.2,1.05,48.3,"minimum",49,0.826576155183078
"175",100.1,1.7,33.4,6.4,1.05,33,"saddle",44,0.372524624714879
"198",100.1,1.7,33.1,6.4,1.05,32.5,"saddle",44,0.342805241531555
"212",100.1,1.7,35.7,6.4,1.05,36.8,"saddle",44,0.553852253156973
"260",100.1,1.7,35.3,6.4,1.05,36.1,"saddle",44,0.383284115211751
"28",100,1.5,28,5.7,1.05,21.1,"minimum",43,0.658407015872945
"256",100.1,1.65,43.3,6.2,1.05,48,"minimum",43,1.21750082484413
"258",100.1,1.7,35.5,6.4,1.05,36.5,"saddle",43,0.778631701914226
"335",100.1,1.65,42.8,6.2,1.05,47.3,"minimum",43,3.41612622422609
"83",100.1,1.7,33.7,6.4,1.05,33.5,"saddle",42,0.42141602720183
"160",100.1,1.7,33,6.4,1.05,32.5,"saddle",42,1.54437353557343
