"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"209",100.1,1.7,34.4,6.4,1.05,34.8,"saddle",42,2.11108369352944
"208",100.1,1.7,35.6,6.4,1.05,36.6,"saddle",41,0.391084311489391
"276",100.1,1.7,35.1,6.4,1.05,35.9,"saddle",40,1.41578591072446
"153",100.1,1.7,32.7,6.4,1.05,31.9,"saddle",39,0.41048491827242
"220",100.1,1.7,34.9,6.4,1.05,35.6,"saddle",39,1.8223914131908
"44",100.1,1.7,35.3,6.4,1.05,36.2,"saddle",38,1.0669087061511
"131",100.1,1.65,43.4,6.2,1.05,48.1,"minimum",38,0.625799765430226
"240",100.1,1.65,42.6,6.2,1.05,47,"minimum",38,4.20528840253785
"241",100.1,1.7,34.8,6.4,1.05,35.3,"saddle",38,0.467131544785719
"259",100.1,1.7,35.9,6.4,1.05,37.1,"saddle",38,0.395490099507489
"336",100.1,1.65,42.7,6.2,1.05,47.1,"minimum",38,2.89166630084019
"18",99.9,1.04,28.6,4.5,1.03,13.5,"saddle",37,0.441117758661526
"95",100.1,1.7,34.5,6.4,1.05,34.8,"saddle",37,0.431365624537389
"103",100.1,1.65,43.8,6.2,1.05,48.7,"minimum",37,0.238235431287386
"238",100.1,1.7,34.2,6.4,1.05,34.5,"saddle",37,2.58361662143712
"299",100.1,1.7,35.8,6.4,1.05,36.9,"saddle",37,0.31649207129236
"309",100.1,1.65,43,6.2,1.05,47.6,"minimum",37,2.70600576200208
"332",100.1,1.66,41.5,6.2,1.05,45.4,"minimum",37,0.871329894097408
"339",100.1,1.66,41.7,6.2,1.05,45.7,"minimum",37,0.55495126175691
"137",100.1,1.64,44.5,6.1,1.05,49.7,"minimum",36,0.443540014027961
"186",100.1,1.7,32.8,6.4,1.05,32,"saddle",36,0.340614559878815
"347",100.1,1.65,44,6.1,1.05,49,"minimum",36,1.9517686474688
"50",100,1.53,28.2,5.8,1.05,22.1,"minimum",35,1.16448596078978
"168",100.1,1.7,34,6.4,1.05,34,"saddle",35,0.482197334583742
"172",100.1,1.65,42.7,6.2,1.05,47.2,"minimum",35,4.85074992284484
"188",100.1,1.65,43.1,6.2,1.05,47.7,"minimum",35,1.69366073683414
"322",100.1,1.65,43.2,6.2,1.05,47.9,"minimum",35,2.07747426422501
"38",100.1,0.65,33.9,6.3,1.05,6.4,"saddle",34,0.307625350020738
"88",100.1,1.64,44.2,6.1,1.05,49.3,"minimum",34,1.41102183202886
"199",100.1,1.7,33.9,6.4,1.05,34,"saddle",34,2.34611362808562
"47",100.1,1.65,43.7,6.2,1.05,48.6,"minimum",33,0.523365626397761
"69",100.1,1.64,44.6,6.1,1.05,49.8,"minimum",33,0.160274229107656
"80",100,1.49,27.9,5.7,1.05,21,"minimum",33,1.47462549778876
"53",100.1,1.65,43.4,6.2,1.05,48.2,"minimum",32,1.53305863386096
"344",100.1,1.66,42.2,6.2,1.05,46.4,"minimum",32,0.138160505457516
"355",100.1,1.65,43.2,6.2,1.05,47.8,"minimum",32,0.950327016294921
"381",100.1,1.66,42.4,6.2,1.05,46.7,"minimum",32,0.238836207797687
"333",100.1,1.66,42.3,6.2,1.05,46.6,"minimum",31,0.1211115286906
"397",100.1,1.66,42,6.2,1.05,46.1,"minimum",31,0.128051415973018
"318",100.1,1.66,42.5,6.2,1.05,46.8,"minimum",30,0.633830137541239
"356",100.1,1.65,43.9,6.2,1.05,48.8,"minimum",30,0.218572156050115
"270",100.1,1.64,44.3,6.1,1.05,49.4,"minimum",29,0.724774822889734
"329",100.1,1.66,41.6,6.2,1.05,45.6,"minimum",29,1.18483023276595
"102",100.1,1.64,44.5,6.1,1.05,49.8,"minimum",28,1.28592779866073
"112",100.1,1.66,41.9,6.2,1.05,46,"minimum",28,0.322710965702294
"178",100.1,1.7,32.6,6.4,1.05,31.7,"saddle",28,0.318117830790952
"200",100.1,1.69,36.1,6.4,1.05,37.4,"saddle",28,5.86373063644227
"352",100.1,1.66,41.8,6.2,1.05,45.8,"minimum",28,0.205933736122123
"393",100.1,1.65,42.9,6.2,1.05,47.4,"minimum",28,2.25255597054202
"33",99.9,1.03,28.6,4.5,1.03,13.3,"saddle",27,0.57049517323166
"62",100.1,1.64,44.4,6.1,1.05,49.6,"minimum",27,0.982641145581128
"217",100.1,1.66,42.5,6.2,1.05,46.9,"minimum",27,0.15693853515653
"230",100.1,1.7,34.2,6.4,1.05,34.3,"saddle",27,0.397987895118392
"249",100.1,1.7,34.7,6.4,1.05,35.3,"saddle",27,2.28388195844928
"278",100.1,1.69,36.3,6.4,1.05,37.7,"saddle",27,5.05474728744343
"41",100,1.54,28.2,5.8,1.05,22.2,"minimum",26,0.0726649906666481
"157",100,1.54,28.2,5.8,1.05,22.1,"minimum",26,0.543821942578011
"283",100.1,1.69,36.7,6.4,1.05,38.3,"saddle",26,3.6038266131951
"319",100.1,1.66,41.2,6.2,1.05,45,"minimum",26,2.20544402144779
"399",100.1,1.65,43.6,6.2,1.05,48.4,"minimum",26,0.387618543561749
"97",100,1.5,27.9,5.7,1.05,21.1,"minimum",25,0.111862611778711
"255",100.1,1.69,36.8,6.4,1.05,38.5,"saddle",25,4.35700595397876
"34",100.1,1.7,33,6.4,1.05,32.3,"saddle",24,0.399208119973087
"303",100.1,1.65,43.9,6.1,1.05,48.9,"minimum",24,1.15979100982594
"253",100.1,1.7,35,6.4,1.05,35.6,"saddle",23,0.373960092090274
"254",100.1,1.69,36.2,6.4,1.05,37.6,"saddle",23,6.89172835220123
"70",100.1,1.66,42.1,6.2,1.05,46.3,"minimum",22,0.177230147039385
"130",100.1,1.64,44.3,6.1,1.05,49.5,"minimum",22,1.77883429715775
"379",100.1,1.67,41,6.2,1.05,44.7,"minimum",22,0.923947274614083
"49",100.1,1.7,35.2,6.4,1.05,35.9,"saddle",21,0.338592240532205
"71",100.1,1.65,43.6,6.2,1.05,48.5,"minimum",21,1.07526469852547
"222",100.1,1.69,36.5,6.4,1.05,38,"saddle",21,4.30046073270921
"58",100.1,1.64,44.1,6.1,1.05,49.1,"minimum",20,1.08907924081969
"155",100.1,1.69,32.5,6.4,1.05,31.5,"saddle",20,3.52850765758439
"261",100.1,1.7,35.8,6.4,1.05,37,"saddle",20,0.811917638683978
"302",100.1,1.66,42.2,6.2,1.05,46.5,"minimum",20,0.282009115383002
"330",100.1,1.7,36,6.4,1.05,37.2,"saddle",20,0.310146992492918
"377",100.1,1.65,42.9,6.2,1.05,47.5,"minimum",20,3.98867267755955
"427",100.1,1.67,40.8,6.3,1.05,44.4,"minimum",20,0.778596628392344
"471",100.1,1.65,43.3,6.2,1.05,48.1,"minimum",20,2.50837373187637
"39",100.1,1.66,41.8,6.2,1.05,45.9,"minimum",19,0.797494706942369
"257",100.1,1.7,33.3,6.4,1.05,32.8,"saddle",19,0.365145943454439
"287",100.1,1.69,36,6.4,1.05,37.3,"saddle",19,7.84635165226191
"331",100.1,1.66,41.4,6.2,1.05,45.2,"minimum",19,0.615280527673873
"361",100.1,1.66,42.3,6.2,1.05,46.5,"minimum",19,0.377114296671145
"365",100.1,1.66,41.3,6.2,1.05,45.1,"minimum",19,1.26920822606333
"165",100.1,1.7,32.6,6.4,1.05,31.8,"saddle",18,0.811303287954412
"192",100.1,1.69,36.4,6.4,1.05,37.9,"saddle",18,5.98997594115224
"206",100.1,1.7,32.7,6.4,1.05,32,"saddle",18,1.27009137742005
"234",100.1,1.67,39.8,6.3,1.05,42.9,"minimum",18,3.34850336582173
"271",100.1,1.7,35.5,6.4,1.05,36.4,"saddle",18,0.326689484026763
"279",100.1,1.69,36.2,6.4,1.05,37.5,"saddle",18,4.20478018854962
"325",100.1,1.69,36.6,6.4,1.05,38.2,"saddle",18,5.14407158624567
"380",100.1,1.66,41.4,6.2,1.05,45.3,"minimum",18,1.65503540127266
"26",100.1,1.7,35.6,6.4,1.05,36.7,"saddle",17,1.12298016670728
"179",100.1,1.69,37.5,6.3,1.05,39.5,"saddle",17,0.351201606856741
"181",100.1,1.7,35.2,6.4,1.05,36.1,"saddle",17,1.93590346045325
"219",100,1.54,28.3,5.8,1.05,22.3,"minimum",17,0.0841626802654852
"301",100.1,1.67,40.3,6.3,1.05,43.7,"minimum",17,2.55837216596393
"364",100.1,1.67,39.7,6.3,1.05,42.8,"minimum",17,4.80509417822339
"422",100.1,1.67,40.9,6.2,1.05,44.6,"minimum",17,0.45070764832822
"425",100.1,1.67,39.9,6.3,1.05,43.1,"minimum",17,3.9816792518808
"430",100.1,1.69,37.4,6.3,1.05,39.4,"saddle",17,0.226411510824027
"437",100.1,1.65,42.8,6.2,1.05,47.2,"minimum",17,1.84850715982692
"507",100.1,1.64,44.1,6.1,1.05,49.2,"minimum",17,2.35509036648547
"67",100.1,1.69,36.9,6.4,1.05,38.6,"saddle",16,2.96781335605018
"242",100.1,1.7,33.7,6.4,1.05,33.7,"saddle",16,2.8178680858167
"277",100.1,1.7,34.7,6.4,1.05,35.1,"saddle",16,0.365775248521702
"284",100.1,1.7,35.4,6.4,1.05,36.4,"saddle",16,1.49862174565173
"334",100.1,1.7,33.1,6.4,1.05,32.7,"saddle",16,2.19444046391874
"382",100.1,1.66,41.6,6.2,1.05,45.5,"minimum",16,0.369213828392119
"459",100.1,1.67,40.2,6.3,1.05,43.5,"minimum",16,2.08424010552007
"31",100.1,5,19.5,14.4,0.76,19.5,"saddle",15,24.8279048611
"193",100.1,1.7,33.4,6.4,1.05,33.2,"saddle",15,2.51326362676931
"370",100.1,1.66,42,6.2,1.05,46.2,"minimum",15,0.495677556179033
"378",100.1,1.67,41.1,6.2,1.05,44.8,"minimum",15,1.68674677441709
"156",100.1,1.69,32.4,6.3,1.05,31.4,"saddle",14,0.804403836420395
"300",100.1,1.7,35.7,6.4,1.05,36.7,"saddle",14,0.334422559728101
"311",100.1,1.67,40.4,6.3,1.05,43.8,"minimum",14,1.56744990524798
"341",100.1,1.68,39.4,6.3,1.05,42.4,"minimum",14,0.274585917775054
"435",100.1,1.66,41.1,6.2,1.05,44.9,"minimum",14,3.42535108282207
"467",100.1,1.65,43,6.2,1.05,47.5,"minimum",14,1.35872724992899
"129",99.9,1.05,28.6,4.6,1.03,13.5,"saddle",13,1.01523299431795
"346",100.1,1.67,40,6.3,1.05,43.2,"minimum",13,2.67886529566963
"405",100.1,1.66,41.7,6.2,1.05,45.8,"minimum",13,1.55376246034644
"417",100.1,1.67,39.6,6.3,1.05,42.7,"minimum",13,6.55900975988814
"476",100.1,1.65,43.7,6.2,1.05,48.5,"minimum",13,0.214882311020999
"509",100.1,1.65,43.9,6.2,1.05,48.9,"minimum",13,0.310326432545482
"35",99.9,1.03,28.7,4.5,1.03,13.2,"saddle",12,1.69315012820535
"36",100,0.75,32,10.1,1.05,4.9,"minimum",12,0.0668221518661389
"146",100.1,1.7,32.7,6.4,1.05,31.8,"saddle",12,0.469698162571526
"147",100.1,1.69,36.4,6.4,1.05,37.8,"saddle",12,3.54079253847102
"148",100.1,1.65,43.5,6.2,1.05,48.2,"minimum",12,0.301066127596127
"183",100.1,1.69,32.3,6.3,1.05,31.2,"saddle",12,0.454023173755646
"262",100.1,1.68,39.5,6.3,1.05,42.5,"minimum",12,0.176249671010871
"298",100.1,1.7,32.5,6.4,1.05,31.6,"saddle",12,0.496492643005924
"312",100.1,1.69,37.3,6.3,1.05,39.2,"saddle",12,0.248446733852227
"323",100.1,1.68,38.7,6.3,1.05,41.3,"minimum",12,0.757449877502741
"375",100.1,1.67,39.8,6.3,1.05,43,"minimum",12,5.58111106352047
"386",100.1,1.66,42.6,6.2,1.05,46.9,"minimum",12,1.30474458985522
"412",100.1,1.68,39.3,6.3,1.05,42.2,"minimum",12,0.196702735051492
"453",100.1,1.67,40.5,6.3,1.05,44,"minimum",12,1.96416646612809
"20",100.1,0.65,33.9,6.4,1.05,6.3,"saddle",11,0.258557725392525
"187",100.1,1.68,39,6.3,1.05,41.8,"minimum",11,0.721223501947321
"196",100.1,1.67,41,6.2,1.05,44.6,"minimum",11,2.10884774943744
"213",100.1,1.67,40.7,6.3,1.05,44.3,"minimum",11,1.45202763526736
"362",100.1,1.65,42.6,6.2,1.05,47.1,"minimum",11,6.55774316366831
"373",100.1,1.66,41.2,6.2,1.05,44.9,"minimum",11,0.941506090978429
"389",100.1,1.68,38.8,6.3,1.05,41.5,"minimum",11,1.06713010673599
"398",100.1,1.64,44.4,6.1,1.05,49.5,"minimum",11,0.295091125238075
"407",100.1,1.66,42.1,6.2,1.05,46.2,"minimum",11,0.212160462933277
"428",100.1,1.66,41.3,6.2,1.05,45.2,"minimum",11,2.72169246068201
"432",100.1,1.68,39.2,6.3,1.05,42,"minimum",11,0.188530507281807
"479",100.1,1.67,40.9,6.2,1.05,44.5,"minimum",11,1.21591657497307
"59",100.1,1.65,44,6.1,1.05,49.1,"minimum",10,0.93969862795843
"139",100,1.49,27.9,5.7,1.05,20.9,"minimum",10,0.224960172940316
"197",100.1,1.66,42.4,6.2,1.05,46.8,"minimum",10,0.159100426206637
"224",100.1,1.68,38.9,6.3,1.05,41.6,"minimum",10,0.490178496180433
"227",100.1,1.67,40.2,6.3,1.05,43.6,"minimum",10,3.84446904668204
"245",100.1,1.69,36.1,6.4,1.05,37.3,"saddle",10,3.44304775240236
"348",100.1,1.69,36.5,6.4,1.05,38.1,"saddle",10,7.00754093736696
"349",100.1,1.69,36.8,6.4,1.05,38.4,"saddle",10,2.38529255231301
"350",100.1,1.7,35.9,6.4,1.05,37,"saddle",10,0.409343520815448
"354",100.1,1.64,44.2,6.1,1.05,49.2,"minimum",10,0.514013351661478
"408",100.1,1.69,37.2,6.3,1.05,39.1,"saddle",10,0.278809640316254
"418",100.1,1.68,39.2,6.3,1.05,42.1,"minimum",10,0.456075936705599
"449",100.1,1.65,43.1,6.2,1.05,47.8,"minimum",10,3.2070292829083
"494",100.1,1.65,43.8,6.2,1.05,48.8,"minimum",10,0.706576516177701
"110",99.9,1.04,28.6,4.5,1.03,13.3,"saddle",9,2.69108438618485
"164",100.1,1.69,32.4,6.3,1.05,31.3,"saddle",9,0.240155273413909
"166",100.1,1.7,33.6,6.4,1.05,33.3,"saddle",9,0.358615971999146
"273",100.1,1.7,32.8,6.4,1.05,32.2,"saddle",9,1.86874190013558
"340",100.1,1.7,35,6.4,1.05,35.8,"saddle",9,2.43190971598649
"351",100.1,1.69,37.6,6.3,1.05,39.7,"saddle",9,0.251880700661533
"359",100.1,1.67,40.7,6.3,1.05,44.2,"minimum",9,0.591468385152466
"360",100.1,1.68,39.6,6.3,1.05,42.6,"minimum",9,0.38159047123673
"384",100.1,1.68,38.6,6.3,1.05,41.2,"minimum",9,1.4908886264247
"406",100.1,1.67,40.6,6.3,1.05,44.1,"minimum",9,1.13130379262792
"419",100.1,1.68,38.1,6.3,1.05,40.4,"saddle",9,2.00673628151808
"434",100.1,1.66,41.9,6.2,1.05,46.1,"minimum",9,1.09486132001502
"452",100.1,1.67,40.3,6.3,1.05,43.6,"minimum",9,1.23114624461304
"484",100.1,1.65,44.1,6.1,1.05,49.1,"minimum",9,3.00660734678022
"486",100.1,1.66,41.9,6.2,1.05,45.9,"minimum",9,0.136420859857013
"43",100.1,5,19.1,14.8,0.75,14.7,"saddle",8,20.27978434159
"142",100.1,1.7,33.9,6.4,1.05,33.8,"saddle",8,0.371816314554029
"161",100.1,1.69,32.2,6.3,1.05,31,"saddle",8,0.265292569858674
"237",100.1,1.69,32.5,6.4,1.05,31.6,"saddle",8,6.29879218918741
"280",100.1,1.69,36.1,6.4,1.05,37.5,"saddle",8,9.05325056244797
"316",100.1,1.69,37,6.3,1.05,38.8,"saddle",8,0.406150361033059
"374",100.1,1.67,40.4,6.3,1.05,43.9,"minimum",8,3.09146752997757
"396",100.1,1.66,41.5,6.2,1.05,45.5,"minimum",8,2.09693164408714
"409",100.1,1.68,38.4,6.3,1.05,40.9,"saddle",8,1.98958488625167
"429",100.1,1.68,38.2,6.3,1.05,40.6,"saddle",8,2.56029929725966
"433",100.1,1.67,40.1,6.3,1.05,43.4,"minimum",8,3.23182202921649
"440",100.1,1.68,38.5,6.3,1.05,41,"saddle",8,1.10122944116254
"442",100.1,1.69,32.3,6.3,1.05,31.3,"saddle",8,1.56649254476244
"8",100.1,5,19.1,14.8,0.75,14.8,"saddle",7,19.5999452738688
"265",100.1,1.69,36.7,6.4,1.05,38.4,"saddle",7,6.06875080164122
"266",100.1,1.66,42.6,6.2,1.05,47,"minimum",7,0.432634426974545
"291",100.1,1.69,36.3,6.4,1.05,37.8,"saddle",7,8.00337844632162
"292",100.1,1.7,34.5,6.4,1.05,35,"saddle",7,2.79744626448939
"328",100.1,1.69,36.6,6.4,1.05,38.1,"saddle",7,2.93331867189035
"345",100.1,1.69,37.5,6.3,1.05,39.6,"saddle",7,0.287946165259174
"415",100.1,1.68,39.4,6.3,1.05,42.3,"minimum",7,0.241747222456454
"465",100.1,1.68,39.1,6.3,1.05,41.9,"minimum",7,0.302302747965135
"473",100.1,1.67,40.5,6.3,1.05,43.9,"minimum",7,0.870290144679121
"510",100.1,1.67,40.6,6.3,1.05,44.2,"minimum",7,2.41915113454208
"85",100.1,5,19.5,14.4,0.76,19.6,"saddle",6,22.3843185683094
"210",100,1.51,28,5.8,1.05,21.4,"minimum",6,1.38928484166629
"235",100.1,1.68,38.3,6.3,1.05,40.7,"saddle",6,1.51862399492724
"282",100.1,1.7,35.9,6.4,1.05,37.2,"saddle",6,1.162253257844
"310",100.1,1.69,37.3,6.3,1.05,39.3,"saddle",6,0.420008174603471
"321",100.1,1.67,40.1,6.3,1.05,43.3,"minimum",6,1.67125524233344
"357",100.1,1.69,37.1,6.3,1.05,38.9,"saddle",6,0.222328892074817
"376",100.1,1.69,37.2,6.3,1.05,39,"saddle",6,0.356774324405184
"416",100.1,1.7,34,6.4,1.05,34.2,"saddle",6,3.101972814989
"424",100.1,1.69,37.8,6.3,1.05,40,"saddle",6,0.358144206606855
"436",100.1,1.68,39.1,6.3,1.05,42,"minimum",6,1.02132586540317
"488",100.1,1.69,37,6.4,1.05,38.8,"saddle",6,3.63178069533698
"32",100.1,5,19.5,14.4,0.76,19.7,"saddle",5,20.6276982945217
"65",100,0.74,32.2,9.9,1.05,4.9,"minimum",5,0.647994423163483
"92",100,1.54,28.3,5.8,1.05,22.4,"minimum",5,0.413824841283804
"114",100,1.52,28.1,5.8,1.05,21.5,"minimum",5,0.870319611550333
"144",100.1,1.69,32,6.3,1.05,30.7,"saddle",5,0.315205480531962
"189",100.1,1.69,32.2,6.3,1.05,31.1,"saddle",5,0.987709497939585
"195",100.1,1.69,37.7,6.3,1.05,39.9,"saddle",5,0.235023992570027
"204",100.1,1.68,39,6.3,1.05,41.7,"minimum",5,0.21909638963621
"218",100.1,1.69,32.4,6.4,1.05,31.4,"saddle",5,5.02452943246277
"236",100.1,1.66,41.1,6.2,1.05,44.8,"minimum",5,1.74593109176237
"248",100.1,1.68,38.7,6.3,1.05,41.4,"minimum",5,1.9514119398485
"324",100.1,1.67,40,6.3,1.05,43.3,"minimum",5,4.67530507780365
"366",100.1,1.69,37.8,6.3,1.05,39.9,"saddle",5,1.13127954981876
"369",100.1,1.69,37.1,6.3,1.05,39,"saddle",5,0.628258033333252
"392",100.1,1.65,44,6.1,1.05,48.9,"minimum",5,3.49860477718114
"395",100.1,1.69,32.1,6.3,1.05,30.8,"saddle",5,0.24269105999221
"400",100.1,1.69,37.9,6.3,1.05,40.1,"saddle",5,0.798224906629995
"413",100.1,1.68,38.2,6.3,1.05,40.5,"saddle",5,1.12201914526023
"421",100.1,1.68,38,6.3,1.05,40.3,"saddle",5,3.20010856264161
"426",100.1,1.67,40.8,6.3,1.05,44.3,"minimum",5,0.343253323069485
"444",100.1,1.69,37,6.4,1.05,38.7,"saddle",5,1.89966023220137
"450",100.1,1.67,39.7,6.3,1.05,42.7,"minimum",5,2.77804159150115
"462",100.1,1.68,38.3,6.3,1.05,40.8,"saddle",5,3.18668453213173
"478",100.1,1.65,43.3,6.2,1.05,47.9,"minimum",5,0.474698231780414
"490",100.1,1.66,41.7,6.2,1.05,45.6,"minimum",5,0.147329265094523
"505",100.1,1.69,36.9,6.4,1.05,38.7,"saddle",5,5.1900324745925
"48",100.1,5,19.4,14.4,0.76,19.2,"saddle",4,19.2382376202569
"66",100.1,5,19.3,14.4,0.76,18.7,"saddle",4,19.5608074062077
"81",100.1,5,19.4,14.4,0.76,19,"saddle",4,21.3092847232232
"151",100.1,5,19.4,14.4,0.76,19.3,"saddle",4,19.2413480046277
"263",100.1,1.69,32.1,6.3,1.05,30.9,"saddle",4,0.569116449515641
"272",100.1,1.69,32.3,6.3,1.05,31.1,"saddle",4,0.280281716468703
"293",100.1,1.69,32.5,6.3,1.05,31.5,"saddle",4,0.363137620536906
"305",100.1,1.67,39.9,6.3,1.05,43,"minimum",4,2.18782252986059
"320",100.1,1.69,36.5,6.4,1.05,37.9,"saddle",4,2.34835315669997
"353",100.1,1.69,36,6.4,1.05,37.2,"saddle",4,4.92236227569461
"414",100.1,1.68,38.6,6.3,1.05,41.1,"minimum",4,0.520155964010104
"420",100.1,1.69,38,6.3,1.05,40.2,"saddle",4,1.5537613200466
"443",100.1,1.67,41,6.2,1.05,44.8,"minimum",4,0.352591575832623
"456",100.1,1.68,38.9,6.3,1.05,41.7,"minimum",4,1.44675266943547
"495",100.1,1.69,37.6,6.3,1.05,39.6,"saddle",4,0.792872127179214
"56",99.9,1.02,28.7,4.5,1.03,13.2,"saddle",3,0.955581138458905
